#{"t_start": 1785947490.7371771, "env_id": "poke-env-v0"}
r,l,t
-44.98,22,2.372253
-59.6,29,2.735396
-58.0,34,3.175716
-52.28,38,3.688928
-53.14,25,4.019642
-45.0,25,4.349545
-49.02,29,4.748187
-42.36,44,5.315152
-49.14,30,5.726527
-53.26,34,6.174716
-49.28,24,6.499835
-39.24,28,6.84872
-43.2,32,7.255523
-53.14,23,7.572317
-42.68,34,8.000479
-54.38,22,8.284037
-45.0,32,8.713354
-54.74,20,9.66941
-57.72,24,9.983484
-53.32,34,10.428187
-48.92,23,10.731984
-45.0,23,11.043358
-53.06,29,11.44211
-53.58,18,11.663575
-44.66,31,12.110383
-53.24,23,12.401649
-53.46,21,12.677233
-44.72,31,13.068589
-33.94,34,13.533041
-39.9,47,14.141535
-52.64,19,14.385911
-49.04,23,14.687822
-44.86,25,15.012507
-44.78,25,15.337945
-38.58,37,15.825424
-48.8,41,17.00291
-49.2,24,17.338318
-49.22,22,17.619317
-44.28,24,17.977495
-49.82,28,18.349435
-43.52,31,18.764449
-45.0,28,19.125106
-54.34,30,19.525677
-38.5,40,20.224528
-47.72,33,20.664649
-49.82,22,20.936853
38.355956,47,21.603897
-53.06,18,21.81832
-52.26,18,22.083036
-50.0,41,22.774169
-34.88,38,23.448197
-33.12,29,23.832896
-52.5,27,24.188785
-44.26,27,25.200905
-54.4,17,25.410988
-39.82,37,25.888099
-44.32,25,26.218686
-44.16,27,26.553937
-49.56,28,26.932503
-44.94,48,27.541457
-51.68,26,27.859721
-48.76,22,28.666261
-45.0,26,29.015899
-49.1,22,29.294222
-45.0,26,29.649361
-44.24,34,30.09076
-48.56,19,30.353232
-48.92,21,30.616363
-53.3,35,31.082089
-49.82,27,31.447401
-55.0,43,32.016962
-54.68,22,32.971366
-54.3,23,33.268751
-53.92,28,33.635219
-54.4,19,33.8867
-40.0,44,34.489802
-49.12,28,34.861417
-49.42,21,35.138348
-44.24,26,35.460784
-44.78,26,35.819308
-44.5,26,36.144904
-40.0,21,36.517098
-43.6,22,36.802747
-39.08,33,37.209575
-43.78,29,37.586678
-47.24,33,38.086164
38.253233,42,38.631929
-58.6,39,39.131498
-54.06,25,39.461987
-46.42,33,40.531283
-53.46,19,40.765759
-33.84,32,41.175211
-54.28,31,41.579297
-40.0,24,41.947973
-54.56,37,42.436277
-42.32,28,42.79583
-44.64,24,43.119989
-41.72,34,43.568542
-42.74,32,43.974163
-44.56,28,44.325518
-52.28,25,44.665438
-49.58,29,45.047404
-43.68,29,45.421739
-59.56,22,45.723685
-44.28,31,46.109738
-49.32,32,46.53388
-48.28,29,46.897211
-54.6,30,47.975927
-49.26,42,48.512203
-35.0,49,49.201988
-49.12,32,49.85718
-46.7,25,50.19612
-37.58,30,50.579324
-39.56,27,50.939764
-39.88,30,51.346995
-53.18,21,51.656281
-51.74,29,52.069901
-40.0,25,52.453159
-39.82,38,53.001407
-44.06,39,53.491066
-37.16,37,53.973533
-50.0,46,54.678074
-48.52,46,55.922958
-40.0,35,56.428735
-38.48,31,56.841643
-43.88,27,57.201332
-39.12,32,57.623535
-40.0,29,58.002008
-48.54,24,58.35268
-48.02,20,58.629521
-46.54,25,58.954524
-44.86,27,59.292205
-49.06,26,59.622597
-49.6,23,59.913919
-44.48,34,60.363255
-49.08,31,60.774777
-47.32,32,61.213162
34.444898,40,61.721092
-57.96,21,62.005409
-45.0,21,62.38705
-42.9,25,63.356997
-35.0,32,63.7832
-43.86,32,64.18733
-40.0,39,64.69497
-45.0,30,65.069531
-40.0,33,65.516884
-46.6,42,66.048766
37.323196,48,66.698857
-49.3,25,67.025572
-46.9,31,67.432747
-39.1,42,67.956583
-44.66,30,68.347576
-49.02,20,68.610798
-49.56,25,68.937702
-48.08,28,69.385082
-46.48,36,70.532432
-43.64,25,70.836723
-48.34,30,71.226385
-44.48,25,71.553924
-57.42,21,71.850253
-39.34,30,72.234977
-52.74,28,72.607638
-52.68,21,72.881854
-34.78,39,73.437207
-43.04,24,73.752846
-39.18,25,74.063762
-43.74,23,74.366337
-48.46,26,74.716226
-45.0,29,75.361863
-35.0,27,75.71056
-33.92,37,76.232805
37.820316,29,76.62235
40.130769,34,77.088426
-45.0,23,77.386497
34.061818,29,78.434706
-49.8,24,78.811785
-43.26,34,79.249174
-43.14,28,79.633803
-48.54,27,79.988478
-53.06,19,80.261738
-44.6,30,80.65299
-53.26,21,80.920761
-54.58,27,81.274202
-50.0,27,81.607849
-44.18,28,81.965414
-34.82,31,82.390668
37.406761,35,82.880914
33.109489,34,83.35981
-45.0,32,83.773731
-53.4,22,84.067523
-48.14,25,84.377455
-39.06,35,84.881381
34.099379,32,85.965796
-45.0,28,86.33619
-49.02,27,86.884735
-38.26,31,87.279894
-39.24,24,87.605751
-39.82,27,87.958585
-43.86,30,88.35383
-33.34,26,88.678938
-49.24,25,89.02631
-44.32,20,89.283986
-49.5,27,89.654377
-52.08,33,90.106717
-58.26,27,90.462009
-44.52,28,90.839355
-54.16,35,91.311134
-44.78,30,91.707819
-52.26,21,91.986137
-53.78,33,92.500557
-54.04,25,92.820603
-52.12,25,93.800648
-38.96,27,94.153766
-48.56,26,94.511856
-38.68,25,94.829783
-35.0,31,95.309195
-49.12,27,95.651556
-43.46,22,95.948123
-43.0,25,96.280277
-35.0,31,96.682532
-43.14,23,96.973073
-33.38,32,97.36936
-50.0,16,97.580382
-50.0,28,98.045639
-48.58,23,98.357138
-48.98,23,98.639062
34.504762,25,98.982223
33.8659,47,99.581007
-45.0,37,100.045138
-49.64,77,101.967782
-40.0,28,102.345071
-35.0,26,102.683532
-47.0,30,103.083941
-39.0,29,103.459487
-48.06,29,103.830613
-48.8,78,104.938033
-43.02,30,105.317895
-48.38,33,105.791631
-49.14,29,106.158867
-38.8,33,106.578993
-45.0,25,106.916372
-46.7,50,107.565407
-44.82,25,107.896092
-37.9,28,108.912477
-49.48,34,109.358116
-44.2,24,109.667658
-40.0,33,110.094854
-42.94,35,110.545011
-39.78,22,110.829174
-39.04,36,111.298719
-43.72,23,111.627545
33.934056,40,112.17776
-44.14,35,112.625839
-43.6,29,113.017371
-53.74,20,113.25831
-38.98,30,113.645233
43.978189,29,114.019978
-49.68,23,114.328179
-49.4,27,114.667449
-43.02,25,114.998298
-44.82,26,115.322863
-53.64,31,116.381765
-41.92,29,116.768121
51.012302,43,117.327083
37.019103,35,117.77046
-54.64,23,118.074629
38.035211,26,118.398335
38.121739,31,118.795774
-33.9,36,119.251785
-43.98,24,119.566806
-39.5,28,119.934557
-44.26,30,120.309686
-35.0,28,120.682042
-39.28,35,121.152094
-45.0,30,121.530092
-42.08,28,121.889546
-44.28,32,122.324335
-43.46,33,123.409787
-40.0,29,123.776036
-49.1,19,124.023952
-44.62,30,124.441132
-38.58,26,124.790876
-47.88,48,125.435416
-52.7,21,125.687155
-43.66,26,126.025009
