#{"t_start": 1789619950.4135435, "env_id": "poke-env-v0"}
r,l,t
-41.41,32,3.384851
-44.51,24,3.773047
-45.0,22,4.143547
-44.81,21,4.500991
-37.56,29,4.989183
-40.48,25,5.402795
-41.45,47,6.218104
-41.61,44,6.91282
-34.62,42,7.685986
-38.83,41,8.440723
-47.0,21,8.866583
-41.76,32,9.458217
-44.68,25,9.974559
-41.11,29,10.539294
-47.7,20,10.964547
-41.35,22,11.341284
-38.71,33,11.951642
-41.34,48,15.235422
-44.72,31,15.736002
-35.78,34,16.336742
-42.0,47,17.087476
-44.05,28,17.590665
-44.01,22,17.894941
-41.86,27,18.36277
-47.12,21,18.706371
-40.82,32,19.259062
-42.0,26,19.767036
-44.15,25,20.257679
-39.0,27,20.728028
-41.16,28,21.26911
-42.0,24,21.72842
-41.81,30,22.311406
-41.25,33,22.954308
-37.27,23,23.390309
-35.81,25,26.147979
-41.29,24,26.559844
-41.38,25,26.993504
-38.94,26,27.393097
-40.62,28,27.841415
-41.66,31,28.360411
-42.0,34,28.926864
-38.91,27,29.356542
-45.0,19,29.676894
-33.0,57,30.575981
-38.48,30,31.060779
-41.78,29,31.605903
-41.74,29,32.159598
-43.51,21,32.577133
-37.89,33,33.22998
-44.24,24,33.679688
-41.41,30,34.24017
-41.49,19,34.584588
-47.14,27,37.472757
-41.32,22,37.886146
-33.0,29,38.407077
-44.09,21,38.760542
-44.19,32,39.307147
-44.82,24,39.685795
-39.0,25,40.182582
-41.67,58,41.264164
-43.4,39,41.935116
-43.76,27,42.364956
-38.11,25,42.770766
-33.0,41,43.46844
-38.83,28,44.024866
-42.0,28,44.563656
-35.75,28,45.125416
-40.81,29,45.723176
-38.11,25,46.190368
-45.0,25,49.013342
-43.94,25,49.415097
-32.44,31,49.948267
-43.82,24,50.36102
-44.64,29,50.823972
-44.25,26,51.247662
-44.55,25,51.709993
-42.0,30,52.460108
-38.77,33,53.01558
-44.1,21,53.373048
-38.26,39,54.035969
-41.41,33,54.571943
-41.35,36,55.257092
-41.29,25,55.775319
-39.0,33,56.439193
-41.54,26,56.95726
-42.0,21,57.370624
-43.88,20,57.735335
-44.34,19,58.113719
-47.41,18,60.69922
-44.02,26,61.128514
-41.29,28,61.589217
-41.56,30,62.036972
-44.15,21,62.414175
-38.15,43,63.160154
-41.23,39,63.908223
-46.78,28,64.421886
-38.95,26,64.837025
-41.07,25,65.245505
35.012461,33,65.831377
-41.08,24,66.205956
-44.23,32,66.757403
-31.85,111,68.916212
-41.5,26,69.425934
-41.14,27,72.161388
-32.19,36,72.71402
-41.02,23,73.077841
-41.44,24,73.433626
-41.11,31,73.897081
-33.0,23,74.298765
-41.51,23,74.705897
-41.78,28,75.236611
-45.0,19,75.585686
-41.47,35,76.124521
-42.0,24,76.521647
-32.7,34,77.112257
-41.09,17,77.386068
-44.21,23,77.830492
-41.54,31,78.459341
-38.5,31,79.107311
-35.6,31,79.667565
-43.7,25,80.17262
-38.78,26,80.697554
-41.75,28,83.423395
-38.03,37,84.08304
-41.91,24,84.458264
-38.39,33,85.018065
-43.72,28,85.460315
-35.26,26,85.965757
-45.0,20,86.356935
-42.0,24,86.833048
-35.18,31,87.455329
-41.73,21,87.86771
-35.06,35,88.525568
-37.71,109,90.71105
-44.64,20,91.159573
-41.45,27,91.782174
-44.1,19,92.199191
-44.24,33,92.95079
-35.2,42,95.824514
-35.35,31,96.267259
-42.0,33,96.779703
-44.84,19,97.115122
-38.2,35,97.676672
-44.6,19,98.018314
-38.7,27,98.560143
-41.43,29,99.10945
-35.34,29,99.595596
-46.96,20,99.907881
-38.83,34,100.485084
-43.13,33,101.059273
-41.49,28,101.59557
-40.56,29,102.047174
-40.62,25,102.614374
-38.6,34,103.218262
32.585526,27,103.708809
-38.27,28,106.494479
-42.0,23,106.937206
-34.81,44,107.676301
-42.0,23,108.071135
-41.25,23,108.43494
-41.03,30,108.931914
-41.81,64,110.113722
-41.44,27,110.550884
-44.56,20,110.935398
-44.16,67,112.088431
-38.79,24,112.494631
-42.0,31,112.958048
-39.0,33,113.627841
-38.54,29,114.084713
-44.47,34,114.744524
-35.45,29,115.316171
-38.92,25,118.053565
-38.51,26,118.472259
-33.0,40,119.159217
-38.4,30,119.651014
-38.61,38,120.396844
-35.62,29,120.950612
-44.49,29,121.656278
-42.0,17,121.969288
-38.03,32,122.557135
-39.0,25,123.003641
-40.67,33,123.64234
-33.0,32,124.226804
-43.81,34,124.896238
-44.13,24,125.523498
-38.99,22,126.002017
-42.81,29,126.667798
-41.78,25,127.289176
-32.15,67,131.216971
-35.8,40,131.821343
-43.89,28,132.245445
-41.85,30,132.756755
-38.34,29,133.287898
-38.03,33,133.906104
-35.41,35,134.472095
-45.0,28,135.018817
-40.93,34,135.651031
-32.82,30,136.176045
-47.33,24,136.564058
-38.33,36,137.108331
-38.9,27,137.557375
-44.89,18,137.865932
-35.28,30,138.365301
-37.68,32,138.880505
-47.58,22,141.882673
-42.0,30,142.335274
-40.99,29,142.770177
-44.53,38,143.399311
-41.3,34,143.960929
-38.08,35,144.567794
-35.88,30,145.113819
-41.84,22,145.538326
-44.45,26,146.101507
-43.74,18,146.477659
-32.87,28,147.068846
-39.0,27,147.532762
-39.0,34,148.023896
-35.64,29,148.416491
-44.62,31,148.870908
-43.51,28,149.416178
-38.16,27,149.976154
-32.59,30,150.496736
-38.08,27,153.017401
-38.88,34,153.488063
-44.68,22,153.83699
-39.0,29,154.242525
-43.94,28,154.705313
-33.0,40,155.444057
-41.76,22,155.830512
-41.03,29,156.294666
-44.19,16,156.567693
-40.74,33,157.130352
-35.83,29,157.603532
-43.74,25,158.052845
38.233645,29,158.551092
-32.16,57,159.344619
-41.48,21,159.661891
-40.33,40,160.282363
-41.02,35,160.948356
-42.0,19,163.754368
-41.63,28,164.174545
-32.35,31,164.687119
-47.21,15,165.008786
34.438777,28,165.513227
-38.56,36,166.172345
-39.0,27,166.700839
-35.23,69,167.975913
-39.0,50,168.917644
-44.67,33,169.532539
-41.74,19,169.883828
-35.38,31,170.365947
-44.23,23,170.717052
-44.72,17,170.968606
-38.26,42,171.737772
-41.94,27,172.747072
-41.05,40,175.67419
-38.33,36,176.223844
-32.87,43,176.876637
-35.42,46,177.728297
-41.68,22,178.114817
-41.08,65,179.32827
-41.36,29,179.865939
-38.55,37,180.458963
-47.32,28,180.953336
-40.41,32,181.458419
-33.0,42,182.055585
-44.52,24,182.443031
-35.28,34,183.039982
-38.89,79,186.580925
-36.0,27,187.001108
-38.05,30,187.455621
-35.51,33,187.960472
-45.0,15,188.175134
-41.05,21,188.526867
-40.97,22,188.929964
-40.95,40,189.592649
-35.31,25,189.935686
-41.43,27,190.398006
-39.0,24,190.795907
-33.0,32,191.265645
-44.84,20,191.594108
-42.0,25,192.039398
-38.07,45,192.706155
-33.0,42,193.491941
-44.35,15,193.810941
-35.49,32,194.390226
-38.31,38,197.050422
-35.94,87,198.35784
-32.42,43,198.983742
-42.0,21,199.367427
-44.34,24,199.750419
-44.32,18,200.081455
-41.05,31,200.67942
-41.08,23,201.064502
-39.0,23,201.394908
-42.0,36,201.937725
-32.61,29,202.358856
-38.88,31,202.825803
-39.0,29,203.261071
-35.73,35,203.876725
-35.17,31,204.437779
-43.3,26,204.905859
-36.0,26,207.826176
-38.58,25,208.274595
-38.71,35,208.901138
-41.66,22,209.321754
-38.16,67,210.470526
-39.0,20,210.884564
-38.5,25,211.299731
-46.87,26,211.773731
-44.54,27,212.415774
-32.52,39,213.026099
-35.91,29,213.514751
-41.38,25,213.949702
-40.9,27,214.36541
-45.0,48,215.157611
-41.68,19,215.513601
-42.0,25,216.046436
-36.0,26,216.555016
-46.46,17,218.926193
-34.39,39,219.479175
-35.42,27,219.869781
-41.71,21,220.185638
-42.0,23,220.527543
-40.67,27,220.985455
-40.75,30,221.520047
-41.08,22,221.887844
-42.0,26,222.375523
-38.62,25,222.801769
-38.91,35,223.401087
-38.42,33,223.919609
-42.12,52,224.660907
-37.55,29,225.100641
-43.75,34,225.609828
-40.39,28,226.082625
-36.94,30,226.610102
-34.98,22,229.018878
-38.38,23,229.241069
-39.0,24,229.477976
-38.49,23,229.817768
-41.31,22,230.169405
-38.49,26,230.587549
32.145833,37,231.156414
-41.71,25,231.537398
-33.0,35,232.153993
-41.11,35,232.792414
-35.34,33,233.373409
-43.72,24,233.839477
-42.0,19,234.24152
-41.66,26,234.727797
-39.0,21,235.033069
-38.2,32,235.501525
34.540426,44,236.186809
-37.57,28,236.604096
38.833,46,239.406681
-36.0,34,240.000665
-35.11,32,240.514498
-39.0,24,240.860079
-35.03,32,241.327711
-44.78,26,241.728793
-35.91,35,242.248019
-42.0,19,242.542629
-47.08,18,242.846788
-40.43,39,243.46471
-32.43,35,244.098556
-41.21,22,244.540628
-39.0,28,245.008999
-35.26,24,245.435786
-38.14,30,245.972333
-42.0,25,246.330837
-44.26,42,246.920363
-41.3,26,247.295485
-41.39,25,249.938535
-35.25,36,250.588764
-35.71,33,251.7048
-38.48,20,252.032439
-35.75,36,253.726381
-41.23,30,254.342241
-38.69,25,254.83304
-35.87,26,255.28873
-40.26,28,255.785726
-41.32,22,256.153952
-35.41,33,256.542084
-37.66,34,257.136907
-38.39,26,257.55896
-38.02,27,258.026869
37.864843,23,258.414898
-32.37,28,258.883874
-38.91,27,259.25756
-41.07,38,259.83435
-41.35,26,262.551685
-35.71,24,262.984048
-43.96,24,263.470356
-38.71,37,264.127724
-40.55,27,264.630242
-43.39,19,264.980664
-38.35,35,265.667127
-32.1,47,266.495624
-38.39,27,266.986138
-38.02,34,267.628021
-44.24,21,268.065333
-38.13,23,268.422504
-35.21,31,268.969794
-41.72,19,269.284441
-41.39,29,269.818817
-38.01,25,270.212165
-41.9,58,271.069032
-41.46,29,273.640211
-35.31,27,274.121807
-41.75,29,274.66272
-39.0,28,275.161861
-40.14,20,275.505962
-40.94,30,276.156994
-41.78,22,276.532857
-35.58,26,277.01975
-44.09,30,277.544755
-40.33,22,277.922626
-35.61,29,278.404249
-41.24,24,278.806395
-38.32,34,279.435101
-42.0,15,279.700053
32.565693,46,280.484771
-40.58,63,281.56337
-41.77,21,281.889147
-34.94,24,282.209858
-38.41,25,284.733464
-35.43,36,285.392094
-35.66,32,286.193556
-38.32,40,286.879283
32.193146,30,287.433457
-38.22,31,287.924414
-41.87,21,288.287998
