#{"t_start": 1785960146.946802, "env_id": "poke-env-v0"}
r,l,t
-44.34,20,2.250113
-38.88,28,2.602623
-43.63,26,2.968756
-40.43,30,3.352536
-44.88,35,3.838943
-41.35,17,4.074107
-42.0,22,4.375714
-41.32,35,4.835683
-41.51,25,5.162052
-32.94,41,5.917452
-44.05,23,6.284087
-42.0,41,6.808473
-38.71,62,7.675794
-44.18,24,7.990277
-42.0,25,8.300764
-38.32,42,8.854924
-41.73,24,10.089043
-43.33,28,10.464298
-40.99,25,10.795653
-39.0,26,11.147826
-41.65,33,11.592934
-44.15,29,11.987714
-42.0,33,12.408209
-43.43,17,12.63344
-41.1,25,12.958635
-41.42,60,13.747418
-41.38,48,14.383314
-42.0,37,14.88802
-44.15,21,15.147268
-44.46,32,15.570472
-38.23,29,15.953216
-40.87,35,16.43915
-43.54,46,17.98365
-41.4,17,18.213715
-35.39,35,18.642128
-37.69,31,19.065887
-38.4,40,19.574305
-45.0,26,19.911608
-42.0,28,20.326776
-38.22,39,20.832797
-47.12,25,21.149261
-38.05,137,22.941435
-33.0,59,23.673506
-38.73,26,24.033174
-41.59,30,25.313406
-44.96,31,25.731549
-45.0,28,26.107578
-47.78,33,26.536518
-47.11,29,26.927982
-38.38,33,27.333047
-45.0,23,27.640432
-44.9,22,27.944396
-46.81,58,28.717207
-44.86,27,29.044345
-38.33,37,29.542596
-42.0,30,29.928986
-38.36,24,30.248678
-44.23,25,30.559871
-38.69,29,30.944195
-38.21,39,31.47475
-38.69,35,32.169899
-41.91,23,33.373367
-41.85,30,33.759549
-42.0,19,34.023755
-40.39,23,34.309761
-44.84,21,34.576539
-41.79,24,34.898901
-45.53,22,35.182102
-36.0,24,35.485149
-38.44,30,35.863711
-41.09,24,36.182415
-43.9,19,36.432489
-41.63,26,36.786349
-44.31,23,37.069989
-41.4,18,37.305577
-38.88,29,37.676439
-42.0,23,37.954159
-41.11,25,38.294011
-40.67,44,38.867645
-41.72,27,39.236218
-44.32,29,39.605192
-39.0,33,40.937048
-41.13,28,41.288995
-41.78,27,41.656638
-44.88,38,42.147615
-44.59,21,42.43052
-44.66,32,42.837976
-44.44,27,43.190111
-44.32,17,43.411021
32.263492,34,43.854369
-38.53,43,44.452026
-43.41,29,44.834087
-41.02,25,45.163813
-40.85,25,45.50077
-47.22,23,45.803134
-44.19,24,46.10616
-30.0,83,47.192791
