#{"t_start": 1785954375.4980237, "env_id": "poke-env-v0"}
r,l,t
-41.55,26,2.537563
-43.77,30,2.941438
-41.61,36,3.419009
-42.0,20,3.680403
-41.4,29,4.073807
-38.61,24,4.412746
-44.53,27,4.766476
-41.76,24,5.093675
-42.0,29,5.61684
-38.23,31,6.040269
-38.6,25,6.419156
-46.63,21,6.695543
32.055172,56,7.446808
-40.74,26,7.806959
-42.0,27,8.161096
-42.0,28,8.542054
-43.59,23,8.858738
-47.61,26,9.231086
-41.57,25,9.685284
-44.06,18,9.952417
-41.5,31,10.365048
-41.62,30,10.756682
-38.56,28,11.151827
-40.32,30,11.595551
-38.58,29,12.011611
-44.75,23,12.35547
-38.46,35,12.828607
-40.85,26,13.180437
-41.94,21,13.491565
-42.52,32,13.923301
-31.83,32,14.354839
-38.61,32,14.801361
-41.37,31,15.219724
-41.78,23,15.531155
-41.33,17,15.768219
-35.06,47,16.419799
-38.84,33,16.929447
-38.42,34,17.589051
-41.3,23,17.914846
-35.49,43,18.500333
-44.49,27,18.855
-35.97,42,19.42356
-37.95,29,19.831761
-39.0,42,20.369756
-43.06,34,20.825944
-39.87,24,21.152058
-48.0,20,21.427797
-41.53,17,21.651343
-41.84,25,22.022401
-39.0,23,22.324416
-42.0,20,22.608125
-37.81,20,22.897279
-41.35,21,23.16228
-36.0,28,23.539895
-38.71,30,23.971719
-44.91,21,24.239223
-41.71,34,24.687334
-41.71,28,25.063595
-38.03,30,25.442363
-44.96,27,25.963556
-38.46,33,26.407951
-43.92,29,26.774331
-38.77,40,27.33055
-44.29,36,27.80211
-41.88,34,28.257618
-38.1,99,29.572775
-39.0,31,29.986971
-44.94,18,30.233231
-44.09,22,30.520618
-45.0,17,30.767638
-47.26,25,31.102213
-38.16,37,31.589669
-37.02,26,31.940978
-37.66,32,32.379774
-38.24,28,32.758355
-44.23,30,33.173156
-44.55,32,33.599196
-38.5,41,34.152694
-34.42,56,34.89121
-41.61,31,35.3067
-40.58,34,35.759404
-44.05,25,36.082208
-41.21,25,36.422814
-43.65,31,36.840235
-41.93,38,37.349246
-41.25,24,37.658283
-44.17,27,38.012522
-38.93,27,38.359586
-44.91,31,38.790822
-42.0,24,39.119537
-38.84,32,39.550352
-41.5,24,39.879782
-43.89,63,40.71174
-38.76,25,41.040359
-34.8,32,41.460285
-40.87,22,41.75245
-44.32,31,42.172218
-40.93,42,42.726866
-44.68,28,43.106602
-45.28,26,43.443532
-41.27,24,43.778755
-45.0,14,43.971143
-44.25,21,44.256631
-35.44,42,44.830089
-38.93,27,45.18435
-35.84,30,45.592125
-38.1,35,46.200355
-37.87,31,46.609618
-39.0,30,47.015355
-37.63,27,47.361685
-44.15,29,47.757752
-38.76,38,48.249423
-35.72,42,48.807947
-47.84,24,49.142642
-41.31,25,49.47197
-43.04,19,49.741428
-41.9,20,49.997791
-41.46,42,50.565315
-39.0,25,50.88176
-36.0,24,51.226755
-41.31,27,51.599479
-41.28,34,52.054954
-41.95,26,52.398104
-38.69,32,52.839021
-41.9,29,53.229886
-38.18,26,53.568485
-41.55,28,53.939593
32.919463,60,54.75498
-41.15,40,55.296854
-44.5,16,55.498762
-44.81,21,55.783192
-42.0,22,56.077338
-43.87,27,56.433104
-38.6,31,56.851355
-38.81,31,57.251576
-41.06,31,57.65375
-38.99,27,58.003244
-40.43,35,58.47135
-41.7,27,58.85708
-47.33,27,59.232934
-43.98,32,59.683331
-47.29,23,59.995342
32.310627,45,60.603123
-36.0,23,60.931852
-41.91,20,61.187865
-44.37,21,61.471465
-33.0,61,62.320324
-45.0,24,62.647489
-35.6,42,63.20122
-36.0,31,63.615032
-43.36,53,64.335368
-35.16,24,64.638982
-46.8,23,64.960739
-41.75,47,65.579571
-44.65,29,66.081169
-42.0,25,66.463487
-48.0,22,66.769
-41.54,20,67.023628
-35.51,38,67.551578
-44.08,24,67.873982
-45.0,15,68.075288
-38.16,34,68.584612
-41.94,28,68.965544
-44.02,18,69.204434
-41.79,26,69.560476
-42.0,25,69.900562
-40.64,30,70.316004
-41.59,25,70.641525
-38.95,24,71.033301
-40.73,24,71.338389
-41.82,22,71.628349
-40.33,30,72.033291
-42.0,22,72.346967
-41.24,29,72.758093
-44.61,30,73.163128
-39.0,23,73.470054
-37.57,31,73.903977
-44.35,22,74.205035
-40.7,34,74.650359
-38.67,28,75.033357
-44.2,24,75.346949
-44.55,33,75.817502
-44.43,27,76.165392
-42.0,29,76.554301
-44.18,22,76.852567
-42.0,44,77.453208
-43.71,43,78.041546
-41.81,37,78.5291
-39.0,30,78.931108
-38.22,27,79.286828
-38.8,32,79.731813
-38.07,37,80.228923
-44.51,19,80.47125
-43.74,26,80.84135
