turn,own_hp,opp_hp,n_legal_switch,n_legal_move,p_switch,p_attack,top_action,top_is_switch,top_prob,margin,value,cf_fullhp_top,cf_flips
7,0.0,0.13,4,0,1.0,0.0,4,1,0.3342,0.0128,-19.832,5,1
6,0.0,1.0,4,0,1.0,0.0,2,1,0.4709,0.2074,-7.156,2,0
3,1.0,0.36,4,4,0.0014,0.9986,7,0,0.9984,0.9978,-16.489,7,0
7,0.222,1.0,5,4,0.5085,0.4915,9,0,0.3041,0.0271,-15.81,9,0
8,0.9,0.45,3,4,0.2465,0.7535,7,0,0.3089,0.083,-18.558,7,0
11,0.314,1.0,4,4,0.5044,0.4956,0,1,0.3362,0.019,-13.348,8,1
6,0.0,1.0,3,0,1.0,0.0,4,1,0.6955,0.4937,8.721,4,0
4,0.126,1.0,5,4,0.5249,0.4751,5,1,0.5035,0.0477,-19.394,8,1
8,1.0,0.13,3,4,0.5133,0.4867,5,1,0.4809,0.2024,-15.743,5,0
7,1.0,1.0,3,4,0.3264,0.6736,9,0,0.4037,0.2117,-12.856,9,0
7,0.0,1.0,5,0,1.0,0.0,1,1,0.7622,0.6586,-21.163,1,0
7,1.0,1.0,2,4,0.0591,0.9409,9,0,0.9055,0.8487,15.503,9,0
12,1.0,1.0,4,4,0.2221,0.7779,8,0,0.3351,0.1218,-9.993,8,0
6,0.117,1.0,5,4,0.7501,0.2499,5,1,0.2995,0.0849,-9.12,8,1
8,0.859,1.0,5,1,0.0227,0.9773,7,0,0.9773,0.9669,-0.781,7,0
9,0.131,0.13,3,4,0.3162,0.6838,7,0,0.3696,0.1412,-22.149,7,0
5,1.0,1.0,5,4,0.0165,0.9835,8,0,0.8392,0.7,-5.788,8,0
4,1.0,1.0,4,4,0.366,0.634,6,0,0.3977,0.2111,-18.095,6,0
8,0.613,1.0,3,4,0.4232,0.5768,9,0,0.2422,0.0157,-14.553,9,0
8,1.0,1.0,4,4,0.4086,0.5914,0,1,0.2552,0.0472,-14.289,0,0
9,0.164,1.0,3,4,0.4266,0.5734,5,1,0.2594,0.0719,-24.722,7,1
13,0.633,0.08,4,1,0.1254,0.8746,8,0,0.8746,0.791,-5.549,8,0
7,0.879,1.0,5,4,0.2762,0.7238,8,0,0.5428,0.326,-6.686,8,0
