#{"t_start": 1785963635.3827002, "env_id": "poke-env-v0"}
r,l,t
-41.02,25,2.358862
-44.85,25,2.645721
-41.71,28,2.974217
-39.93,114,4.304787
-37.92,33,4.703216
-35.91,32,5.069388
-46.52,23,5.344821
-38.88,36,5.761745
-42.0,32,6.152151
-44.02,38,6.599073
-42.0,23,6.869267
-46.03,19,7.086513
-47.22,13,7.242267
-42.0,24,7.529104
-41.27,29,7.852858
-43.86,17,8.067263
-38.94,37,9.748504
-44.76,19,9.977877
-42.0,25,10.26348
-45.0,35,10.662233
-39.0,27,10.973955
-40.87,28,11.28365
-42.0,20,11.513534
-38.39,34,11.902778
-41.44,24,12.180533
-38.16,42,12.676296
-39.0,25,12.976146
-45.0,19,13.194669
-36.0,25,13.486679
-42.0,19,13.692677
-38.12,29,14.025014
-36.0,32,14.447151
-40.94,31,14.814352
-41.5,24,15.099512
32.797048,42,16.948446
-44.16,23,17.20312
-35.59,53,17.830617
-38.64,36,18.253455
-36.0,28,18.593965
-37.76,31,18.950673
-43.89,19,19.182963
-47.55,18,19.396248
-44.53,21,19.638759
-38.71,31,20.070875
-45.0,28,20.398245
-35.64,38,20.849049
-41.1,33,21.251362
-44.44,26,21.545554
-38.81,25,21.834536
-47.6,26,22.131475
-41.9,40,22.577887
-33.0,35,24.249429
-44.07,25,24.542808
-40.45,31,24.892317
-39.0,26,25.202479
-43.97,34,25.61322
-32.02,32,25.978143
-38.51,24,26.268466
-47.57,21,26.518425
-44.46,50,27.083357
-41.18,39,27.541764
-42.0,31,27.909846
-38.16,28,28.247056
-44.23,32,28.619145
-36.0,31,28.98754
-39.0,22,29.441191
-39.0,31,29.820751
-44.79,21,30.078866
-44.42,23,31.636295
-38.11,33,32.010777
-44.37,27,32.337728
31.961818,61,33.056503
-44.34,19,33.262817
-38.31,55,33.880685
-41.51,21,34.132488
-44.16,40,34.592622
-35.43,33,34.970588
-44.46,19,35.196602
-40.98,30,35.54789
-36.0,31,35.901766
-38.92,28,36.234849
-42.0,21,36.471371
-38.93,24,36.751014
-44.2,26,37.060322
-40.85,24,37.346239
-39.0,22,38.8402
32.206349,33,39.233452
-44.37,25,39.517692
-45.0,22,39.777187
-41.52,33,40.156487
-42.0,26,40.44767
-44.57,21,40.694258
-39.0,35,41.091249
-41.84,43,41.572127
-44.69,31,41.946143
-38.5,29,42.278119
-32.24,49,42.843779
-44.88,33,43.227932
-40.79,28,43.551217
-44.99,29,43.866728
-35.21,40,44.336443
-44.15,20,44.573772
-42.0,25,46.14779
-32.59,37,46.567732
-37.59,30,46.917476
-38.66,27,47.229733
-43.91,25,47.49969
-41.03,29,47.841143
-38.6,29,48.181885
-43.19,30,48.524332
-41.48,26,48.829624
-44.91,20,49.069474
-44.25,28,49.415554
-41.58,22,49.658411
-42.0,31,50.028077
-43.69,18,50.217802
-38.44,32,50.580951
-35.88,31,50.930376
-32.78,36,51.363729
-35.06,37,51.793719
-38.34,20,53.265783
-44.0,21,53.51585
-35.62,27,53.824631
-41.48,25,54.13432
-38.83,30,54.486193
-32.34,34,54.866252
-40.71,29,55.203439
-35.33,29,55.537225
-41.37,29,55.850066
-39.0,24,56.126077
-41.06,22,56.382358
-44.34,24,56.675764
-38.36,26,56.96854
-47.4,23,57.251774
-40.86,24,57.529428
-47.36,44,58.054561
-41.06,23,58.419855
-41.09,27,58.823441
-39.0,21,59.067261
-35.45,31,60.82509
-38.55,27,61.144416
-44.77,22,61.397634
-41.7,23,61.65775
-41.79,23,61.921026
-41.71,18,62.144349
-34.96,52,62.758162
-41.23,21,62.999758
-44.04,26,63.373031
-44.16,23,63.638142
-38.48,31,63.996941
-41.01,22,64.25634
-38.36,28,64.576665
-38.6,35,64.985105
-35.59,31,65.312511
-35.56,36,65.731499
-32.68,47,66.277009
-41.07,23,66.547855
-43.37,25,68.085447
-38.62,34,68.486832
-40.79,26,68.785158
-38.91,26,69.096087
-38.42,33,69.472228
-35.94,32,69.864926
-35.67,51,70.471238
-41.61,20,70.700985
-41.59,22,70.991754
-35.26,38,71.452509
-38.38,31,71.785652
-45.0,23,72.056953
-44.62,22,72.306104
-41.23,34,72.829729
-38.91,32,73.20849
-37.85,26,73.51004
-44.34,20,73.754535
-35.2,39,75.488017
-41.35,30,75.849541
-42.0,31,76.210865
-40.56,26,76.507452
-32.35,58,77.181819
32.551111,35,77.580878
-41.13,34,77.982455
-40.21,34,78.370864
-41.06,26,78.673982
-38.16,29,79.005404
-36.0,33,79.384392
-39.0,38,79.832215
-32.57,31,80.189501
-35.91,29,80.521311
-43.82,24,80.797672
-38.42,24,81.066278
-32.54,33,82.77968
-41.35,21,83.023919
-41.13,28,83.352367
-41.41,37,83.768682
-34.52,36,84.189813
-47.28,26,84.506778
-39.0,37,84.938347
-33.0,36,85.357697
-41.29,32,85.740769
-38.74,29,86.082243
-39.0,28,86.409708
-37.58,31,86.776957
-35.55,28,87.10225
-35.39,37,87.527442
32.065693,42,88.181569
-38.91,31,88.539491
-41.33,48,90.394875
-35.66,21,90.638612
-38.78,17,90.84747
-39.0,36,91.283241
-41.02,21,91.512725
-39.0,25,91.81517
-41.3,18,92.021654
-35.5,41,92.486104
-41.78,32,92.855205
-41.8,32,93.234796
-44.3,26,93.536099
-37.63,33,93.924701
-40.72,22,94.174929
-35.85,19,94.396307
-35.67,31,94.747862
-38.32,46,95.280525
-45.0,25,95.574075
-41.16,23,95.865277
-32.65,43,97.621817
-41.73,20,97.851292
-41.45,36,98.283235
-38.71,130,99.789736
-42.0,27,100.108386
-44.03,24,100.404843
-40.81,34,100.814727
32.59176,29,101.128083
-37.59,33,101.521886
-42.0,19,101.728974
-38.84,30,102.081554
-35.92,27,102.399801
-41.44,34,102.788005
-41.55,19,103.027191
-35.57,23,104.577947
-47.43,20,104.796436
-35.2,27,105.120036
-43.76,36,105.529622
-34.58,36,105.936466
-42.0,25,106.216249
-38.21,36,106.649003
-38.12,53,107.244271
-38.63,37,107.665738
-32.12,31,108.026167
-41.5,27,108.342843
-35.67,31,108.711958
-32.21,33,109.080324
-35.52,28,109.411725
-38.5,25,109.699234
-41.5,27,110.009589
-44.19,18,110.217765
-44.11,21,111.736607
-40.75,22,111.999415
-30.0,31,112.348662
-38.48,28,112.679979
-38.47,41,113.162156
-35.48,29,113.503874
-37.89,46,114.029595
-39.0,26,114.334356
-41.26,20,114.572009
-40.92,25,114.853817
-41.65,41,115.320797
-41.6,23,115.575961
-41.03,21,115.819877
-36.0,29,116.152736
-41.73,28,116.529176
35.880556,42,117.134853
-42.0,33,117.526956
-38.37,35,119.198055
-35.57,66,119.976872
-38.28,21,120.214348
-38.18,28,120.53666
-42.0,24,120.826571
-35.26,26,121.130321
-41.32,28,121.455095
-35.06,33,121.835432
-44.08,24,122.112333
-41.86,28,122.449411
35.085285,43,122.962185
32.042945,32,123.330313
-41.71,26,123.63504
-38.73,28,123.960812
-35.38,27,124.271264
-44.5,20,124.509041
-35.87,33,124.887533
-42.0,27,126.464776
-35.12,37,126.916203
32.528846,27,127.230515
-41.26,28,127.551878
33.0,42,128.04581
-35.43,33,128.419729
-32.26,33,128.802265
