#{"t_start": 1785963635.4556718, "env_id": "poke-env-v0"}
r,l,t
-41.77,34,2.387728
-38.86,27,2.715187
-39.0,22,2.97641
-41.9,16,3.154299
-41.86,34,3.538503
-38.29,26,3.839939
-44.25,24,4.123261
-44.19,18,4.351935
-38.54,27,4.665017
-38.08,26,4.957866
-38.04,42,5.448954
-39.0,21,5.708582
-48.0,20,5.948692
-45.0,28,6.278677
-44.34,25,6.578413
-38.0,30,6.916714
-41.04,28,7.247081
-38.7,38,7.692112
-48.0,16,7.880366
-44.45,26,9.456427
-44.91,22,9.713367
-43.8,34,10.093376
-38.46,27,10.392108
-41.43,38,10.838625
-47.7,20,11.071825
-38.18,25,11.345298
-38.89,30,11.691524
-41.39,26,11.991637
-48.0,19,12.226947
-39.0,21,12.467164
-41.73,26,12.77944
-44.58,24,13.049593
-41.35,27,13.355722
-38.3,33,13.72378
-42.0,56,14.434796
-40.34,37,14.874997
-38.42,29,15.206378
-42.64,22,16.824017
-38.61,28,17.151918
-46.95,30,17.513026
-44.02,27,17.834615
-35.13,34,18.2261
-33.0,49,18.796892
-43.58,22,19.061489
-41.69,31,19.426418
-38.24,23,19.765191
-38.74,21,20.014643
-41.33,20,20.236212
-38.78,38,20.690756
-41.13,30,21.061494
-40.6,31,21.418669
-44.56,25,21.702824
-44.37,28,22.024757
-32.56,59,23.957695
-42.0,35,24.344443
-38.59,24,24.633688
-45.0,57,25.320707
-41.14,29,25.662017
-44.88,23,25.931767
-38.91,32,26.311281
-38.32,32,26.675418
-47.81,20,26.879329
-38.07,29,27.225976
-43.66,29,27.584274
-44.38,28,27.91127
-41.29,25,28.218377
-38.91,29,28.548
-38.16,38,29.065563
-41.29,27,29.543545
-41.6,32,29.907302
-41.61,23,31.460563
-41.2,30,31.823795
-41.5,24,32.107615
-38.19,32,32.487595
-38.23,30,32.827198
-35.09,43,33.316517
-38.21,31,33.667446
-35.79,27,33.971123
-39.0,27,34.277393
-41.18,29,34.62061
-44.03,30,34.964519
-40.65,25,35.258805
-36.0,23,35.539042
-38.81,27,35.850001
-43.03,38,36.293012
-44.81,26,36.590544
-39.0,25,36.89062
-43.71,26,37.190795
-41.48,32,38.815372
-41.8,21,39.059262
-38.1,48,39.60412
-40.53,26,39.915088
-32.04,32,40.273633
-41.41,21,40.505277
-35.72,35,40.906378
-41.78,35,41.303805
-38.35,23,41.580795
-35.73,32,41.950295
-36.0,35,42.343172
-41.59,39,42.806801
-42.0,25,43.097482
-41.83,33,43.482893
-35.33,27,43.767923
-38.62,28,44.098145
-40.79,34,44.496387
-41.83,24,46.055979
-44.67,23,46.32511
-37.1,29,46.655059
-35.74,41,47.128536
-44.06,32,47.504601
-41.81,24,47.769171
-41.84,75,48.642863
-42.0,27,48.957812
-38.5,26,49.262771
-45.0,26,49.566469
-44.79,28,49.897859
-38.88,33,50.27702
-38.11,31,50.625165
-38.94,33,51.007071
-41.91,23,51.275114
-46.75,24,51.567923
-32.94,46,53.340801
-44.52,31,53.695062
-32.39,26,54.003988
-38.86,31,54.371434
-32.14,30,54.712879
-38.68,31,55.070129
-41.47,24,55.34744
-40.66,42,55.816815
-35.57,23,56.081305
-42.0,34,56.484377
-39.0,25,56.765779
-44.26,20,57.001931
-38.44,26,57.315588
-35.22,32,57.682394
-41.33,23,57.965689
32.519149,44,58.655929
-46.82,25,58.951923
-42.0,20,60.579484
32.217391,38,61.035767
-35.67,28,61.362693
-41.46,25,61.644632
-39.0,42,62.145223
-41.46,24,62.408915
-35.24,37,62.847369
-44.09,29,63.194841
-45.0,18,63.475015
-40.63,29,63.81089
-38.88,29,64.141452
-38.12,30,64.485863
-40.73,29,64.824214
-38.04,26,65.116727
-41.04,32,65.480462
-42.0,27,65.78579
-38.87,30,66.139961
-41.6,24,66.409096
-41.64,22,67.913512
-38.36,23,68.196626
-40.82,32,68.564554
-41.84,26,68.864533
-41.08,29,69.217076
-38.45,26,69.519216
32.736434,38,69.979651
-45.0,27,70.292305
-38.17,28,70.611027
-37.54,31,71.028269
-38.45,29,71.360999
-32.78,33,71.73233
-41.7,21,71.961427
-32.89,66,72.87728
-44.4,27,73.191335
-42.0,31,73.555428
-35.74,24,73.826518
-41.9,23,75.378041
-44.14,32,75.755654
-35.87,33,76.154853
34.389038,38,76.582429
-41.03,25,76.877655
-35.25,33,77.256239
-46.8,15,77.42608
-44.22,18,77.642816
-41.02,42,78.126313
-34.72,26,78.422404
-47.18,39,78.864678
-44.43,27,79.180634
-41.12,36,79.607615
-38.59,32,79.977947
-40.96,23,80.253417
-41.4,27,80.546905
-41.57,22,80.802195
-41.87,28,81.194296
-44.04,20,82.68055
-43.35,44,83.192013
-35.58,35,83.584023
-41.07,25,83.883139
-38.3,24,84.166204
-43.08,22,84.432698
-35.69,27,84.753304
-32.9,44,85.25328
-38.31,31,85.625209
-35.12,29,85.972837
-40.73,29,86.307712
-38.68,34,86.722347
-45.89,21,86.953238
-41.5,21,87.203611
-41.18,34,87.689874
-36.0,34,88.158706
-40.98,31,88.516591
-38.65,30,90.150317
-45.0,38,90.606977
-32.64,36,91.020266
-38.27,27,91.351718
-40.81,26,91.649038
-39.0,18,91.864114
-35.77,32,92.239969
-32.8,30,92.569441
-38.44,28,92.900547
-41.11,26,93.218109
-36.0,34,93.599094
-38.79,20,93.836269
-38.74,31,94.211874
-35.9,33,94.584758
-35.27,35,94.985146
-41.26,22,95.235169
-43.74,27,95.560361
-34.82,51,97.407926
-38.27,29,97.750749
-35.05,34,98.150217
-41.71,23,98.418082
-42.0,25,98.7084
-44.66,24,99.000758
-33.0,48,99.547292
-40.76,26,99.871717
-41.33,24,100.16359
-44.15,25,100.465011
-38.48,32,100.832715
-41.7,28,101.160174
-41.91,28,101.477934
-40.5,30,101.815954
-38.39,29,102.170416
-35.44,24,102.439636
-39.0,29,102.769758
-31.71,43,104.563251
-40.24,33,104.929731
-39.0,25,105.221542
-41.76,49,105.761765
38.169456,33,106.166454
-32.83,29,106.509353
-35.62,41,106.963295
35.543528,42,107.433458
-41.86,20,107.67989
-38.91,29,108.024769
-36.0,24,108.301536
-41.75,30,108.656305
-32.91,39,109.097506
-39.0,39,109.554279
-41.81,22,109.789273
-35.1,40,110.26007
-38.64,41,112.014889
-38.11,30,112.366312
-42.0,23,112.639052
-44.13,35,113.036585
-44.75,25,113.325483
-37.2,33,113.724125
-38.53,30,114.067214
-38.34,27,114.381085
-41.93,23,114.656189
-44.21,21,114.889745
-32.22,30,115.217925
-36.0,25,115.505205
37.778703,29,115.841814
-36.0,31,116.192079
-38.11,33,116.67941
-42.0,14,116.907038
-38.61,30,117.260676
-35.69,29,117.605049
37.590805,29,119.208172
-35.42,32,119.575112
-38.25,56,120.254235
38.335577,26,120.551362
-37.6,23,120.825648
-40.82,21,121.055826
-43.04,24,121.335742
-38.01,31,121.689991
-37.55,45,122.210783
-41.59,29,122.57739
-42.0,25,122.851616
-35.24,42,123.35206
-38.03,24,123.636822
-36.0,25,123.931128
-35.88,33,124.295151
-42.0,49,124.877565
-36.0,41,126.629963
-41.76,28,126.961455
-38.19,24,127.236877
-35.32,55,127.877172
-38.47,23,128.145939
-35.67,29,128.473713
-37.35,29,128.817806
-41.18,35,129.211317
-37.99,23,129.476302
-39.0,28,129.783303
-44.61,20,130.01535
-38.43,23,130.279373
-38.47,19,130.495793
-38.96,31,130.871998
34.978177,26,131.175533
-44.38,19,131.386199
-41.1,24,131.672444
-35.96,27,131.984222
-38.78,26,133.526916
-35.15,32,133.897103
-39.0,73,134.748395
-38.04,23,135.022004
-38.29,35,135.416626
-33.0,32,135.786845
-35.54,36,136.220441
-38.72,25,136.519288
-41.35,30,136.861555
-40.62,27,137.177806
-34.6,30,137.528803
-41.27,24,137.788139
-35.91,30,138.137255
-44.18,24,138.420086
-36.0,23,138.692484
-35.32,26,139.001644
-40.91,30,140.633543
-32.48,30,140.974263
-41.67,23,141.237292
-38.18,27,141.545419
-33.0,37,141.96407
-39.0,26,142.260947
-41.27,28,142.586107
-41.19,29,142.931847
-38.37,26,143.23584
-38.01,28,143.577785
-41.7,19,143.891139
-42.0,40,144.364019
-39.0,32,144.72516
-35.36,25,145.000218
-35.12,27,145.447299
-41.05,24,145.782861
-40.39,31,146.134359
-43.83,20,146.371542
-35.62,31,146.730509
32.631783,34,148.385792
-35.69,27,148.700699
-32.62,24,148.979769
-44.24,23,149.25523
-41.45,28,149.583785
-32.22,111,150.930161
-38.77,31,151.298084
-39.0,27,151.608943
-40.76,24,152.073374
-38.38,27,152.379923
-38.14,31,152.757276
-33.0,34,153.151047
-41.02,24,153.428644
-35.44,27,153.748322
-32.71,35,154.138346
-38.81,29,155.719815
-41.02,25,156.002517
-38.13,29,156.356116
32.52862,32,156.733655
-41.41,28,157.048337
-38.42,25,157.332916
-39.0,22,157.58432
-36.0,37,157.988624
-39.0,26,158.269996
-41.69,24,158.558403
-36.0,27,158.866674
-42.0,20,159.09789
-41.23,24,159.370233
-39.0,27,159.688245
-38.92,34,160.083493
-38.04,26,160.375569
33.0,24,160.65478
-32.69,40,161.119277
-38.36,29,162.712436
-33.0,28,163.023571
-35.57,29,163.368313
-39.0,22,163.616313
-39.0,25,163.908697
-41.93,28,164.233329
-39.0,34,164.629517
-41.14,30,164.970276
-32.33,38,165.409961
-35.49,41,165.883851
-41.82,29,166.228521
-35.33,29,166.552635
-41.45,23,166.822994
-35.62,31,167.171153
-38.7,24,167.463122
32.429091,38,167.879016
-41.62,23,168.154001
-32.75,39,169.872612
-38.55,24,170.160189
-43.61,25,170.440356
-38.8,28,170.762374
-38.72,28,171.087722
35.005329,32,171.46389
-41.43,25,171.731221
-44.42,25,172.019315
-38.03,23,172.285996
32.667984,31,172.661474
-41.26,25,172.940467
-40.21,20,173.177838
-38.01,28,173.495385
-38.61,21,174.002419
-33.0,32,174.436718
-38.69,25,174.862412
-40.76,31,175.225882
-35.68,31,175.575494
-38.64,41,176.044408
-44.2,32,177.642885
-43.18,33,178.025227
-38.9,33,178.406897
-32.94,78,179.314405
32.041667,25,179.590628
37.017131,97,180.699847
32.5,41,181.176702
-38.73,29,181.515556
-41.51,24,181.780982
-44.57,20,182.004598
31.58365,34,182.396235
-36.0,49,182.933282
-35.02,31,183.2856
-32.59,24,184.820206
-35.24,32,185.192462
-32.84,29,185.522704
-41.44,19,185.750261
-33.0,37,186.175452
-34.94,33,186.566343
-38.52,30,186.907738
-34.62,39,187.356615
38.130973,26,187.659469
-36.0,25,187.949036
-35.43,27,188.251545
-39.0,29,188.603053
-35.11,23,188.87827
-40.11,24,189.156939
-35.49,42,189.616133
-44.17,22,189.871747
-35.41,26,190.254226
-35.74,28,191.855088
-41.14,19,192.088861
32.225532,45,192.584302
-35.88,27,192.893905
-40.89,36,193.30275
-35.2,30,193.665115
-35.22,31,194.022356
-35.21,31,194.371778
-41.21,30,194.707676
-35.17,43,195.187754
31.554745,34,195.578981
-32.73,35,195.987401
-36.0,34,196.385311
-43.29,23,196.665872
-38.58,30,197.012354
-36.0,26,197.308147
-44.75,22,197.547698
-38.15,31,199.181015
-32.44,24,199.455816
-38.91,23,199.757622
-41.55,24,200.031076
-35.34,27,200.32897
-41.4,20,200.556309
-38.8,22,200.813342
-41.5,22,201.066891
-32.6,29,201.401105
-38.46,46,201.933266
-38.05,42,202.407616
-33.0,38,202.928913
-39.0,23,203.281899
-38.93,28,203.606278
-35.31,25,203.894817
35.770677,26,204.209314
-32.9,39,204.667998
32.157088,44,206.445153
-41.5,27,206.751964
-35.78,28,207.07527
-39.0,25,207.363425
-42.0,17,207.561477
-38.4,29,207.872743
-38.22,23,208.150081
-41.18,22,208.40582
-35.59,40,208.857617
-42.0,31,209.232858
-39.0,24,209.495109
-35.29,25,209.778858
32.445312,32,210.136896
-41.45,21,210.391511
-38.18,31,210.747139
-37.21,51,211.370586
-32.08,30,211.72301
35.152941,36,212.139526
-39.0,28,213.735663
-35.35,26,214.035887
-34.61,43,214.540474
-35.82,30,214.881045
-32.27,39,215.337509
-41.52,20,215.57558
-41.42,29,215.911891
-44.76,21,216.158624
-36.0,27,216.467456
-38.17,25,216.770156
32.021368,31,217.111209
32.651852,32,217.477075
-35.1,30,217.835126
-35.74,39,218.272378
-32.31,31,218.625413
-41.36,27,218.933893
-33.0,30,219.279427
-41.47,23,220.805347
-38.29,28,221.126692
34.863029,27,221.556103
-34.19,30,221.889195
-35.81,23,222.155239
-38.28,24,222.428281
-41.32,17,222.628375
-32.6,32,222.99522
-41.69,28,223.313807
-43.99,17,223.50977
-41.81,19,223.749261
-35.09,22,224.003599
36.0,26,224.289074
-44.64,18,224.510694
-41.57,24,224.772256
-37.87,27,225.081443
-32.11,37,225.495518
-32.69,32,225.847667
37.477502,34,226.244398
31.765018,33,226.629625
-35.09,26,228.290275
-38.16,23,228.534153
-35.7,34,228.91752
-35.68,26,229.213909
-35.3,29,229.55331
-40.26,26,229.866245
-36.0,31,230.222841
-38.44,21,230.470462
-32.11,39,230.899045
-35.45,28,231.243577
-42.0,23,231.692583
-43.74,19,231.926768
-31.63,41,232.401768
-35.67,27,232.699871
-39.3,25,233.009759
-38.79,26,233.29561
32.128253,42,233.813014
-35.44,24,234.10035
-33.0,21,235.599662
-32.12,37,236.028594
-38.92,21,236.250267
-35.89,34,236.656152
-37.86,22,236.91081
-38.61,24,237.196149
-34.86,38,237.637214
-35.2,50,238.22009
-35.61,24,238.497946
-41.9,20,238.72357
-38.21,24,238.994994
-34.48,28,239.310625
-40.27,24,239.61376
-35.71,30,239.954522
-35.45,30,240.304499
-38.04,28,240.618073
-32.91,31,240.982744
-34.67,37,242.7144
-40.9,19,242.92675
-38.58,45,243.445338
-44.62,22,243.70706
-32.24,35,244.099974
-35.42,28,244.418191
-39.0,22,244.686571
-35.91,34,245.074188
-35.67,27,245.374174
-41.18,26,245.678578
-31.71,39,246.12761
-39.0,24,246.408118
-44.45,22,246.662854
-34.77,28,246.985937
-39.0,29,247.39186
-44.72,21,247.645533
-41.48,34,248.01807
-34.68,28,248.348353
-36.0,24,248.622907
-41.43,28,250.191101
-41.42,24,250.467654
32.455446,30,250.812722
-41.47,23,251.081609
-35.35,26,251.380859
-35.75,26,251.666967
-33.0,37,252.112832
-39.0,24,252.38502
-35.14,22,252.638487
-36.0,30,252.981197
-35.42,30,253.333768
-35.7,29,253.658339
-38.02,19,253.865975
-32.94,31,254.227669
-32.88,25,254.519126
-38.39,26,254.809137
-38.65,31,255.161344
-38.43,29,255.484979
-38.1,30,257.113284
-38.35,24,257.380987
-38.51,32,257.752241
-32.17,27,258.061624
30.0,25,258.371583
-35.56,30,258.707528
-35.12,25,258.997315
-38.19,32,259.377796
-41.65,26,259.81087
-38.57,21,260.062072
-40.91,24,260.337019
-41.26,26,260.648184
32.145669,25,260.938415
-35.93,25,261.230733
-35.67,25,261.520476
-38.31,21,261.75297
-37.63,23,262.007793
-32.4,33,262.404319
-47.01,14,262.564615
-40.12,37,262.994591
-37.96,26,264.526336
33.0,34,264.910486
-32.36,34,265.312757
-40.89,26,265.623015
-35.61,27,265.943521
-34.76,33,266.32874
-42.0,25,266.609255
32.482759,34,267.006895
-35.42,27,267.327307
-44.39,22,267.591113
32.259574,46,268.108625
-32.9,27,268.414178
-36.0,32,268.800221
-37.92,30,269.127279
-44.61,26,269.429794
35.140625,27,269.733028
-38.05,26,270.034638
-43.46,24,271.558647
-40.83,24,271.834615
-41.46,18,272.105199
-35.56,24,272.368553
-38.9,26,272.666071
-32.94,33,273.042313
-41.49,105,274.274251
-39.0,22,274.517292
-38.41,21,274.775067
-38.41,31,275.128747
-34.66,28,275.460881
-32.52,29,275.795758
-41.13,27,276.094601
-36.0,29,276.432215
-38.24,23,276.689597
35.063091,26,276.994084
-38.69,34,277.360815
-38.91,27,278.933735
-41.21,25,279.222941
-38.22,21,279.46038
-39.0,29,279.801649
-41.25,22,280.05217
-44.52,22,280.29904
-37.54,22,280.534432
-36.0,25,280.80626
-38.44,27,281.121154
-36.0,30,281.466084
-45.0,24,281.753766
-35.4,33,282.144316
-39.0,40,282.607151
-44.37,27,282.922454
-44.61,22,283.187623
-35.96,32,283.552485
-38.87,25,283.843069
33.0,30,284.180479
32.048077,24,284.456552
-36.0,30,286.053
-41.4,47,286.598146
-41.37,30,286.948733
-41.91,29,287.302035
-40.0,23,287.672664
-35.56,33,288.07784
-41.31,20,288.303123
-33.76,44,288.815922
-41.07,25,289.104231
-41.56,25,289.387609
-32.36,33,289.773089
-38.16,23,290.034708
-38.54,28,290.359113
-38.91,18,290.558593
-38.28,29,290.905386
-38.49,27,291.230557
-36.0,29,291.554889
-35.35,30,291.888427
-37.38,42,293.879675
