#{"t_start": 1785963635.3612258, "env_id": "poke-env-v0"}
r,l,t
-44.5,46,2.623129
-41.57,25,2.918642
-41.25,25,3.21015
-44.07,28,3.527862
-47.85,18,3.746108
-41.02,25,4.03071
-41.53,29,4.384033
-45.71,27,4.696705
-44.21,29,5.021468
-44.27,27,5.34962
-44.31,24,5.638434
-44.02,33,6.020194
-38.91,26,6.329543
-41.25,22,6.58157
-44.69,22,6.844054
-46.29,26,7.16437
-43.13,39,7.615163
-39.0,24,7.890726
-37.7,29,9.495406
-45.0,25,9.786081
-44.35,21,10.037201
-41.49,30,10.371976
-39.0,37,10.786832
-41.54,20,11.029783
-38.5,37,11.440987
-37.75,30,11.782038
-46.69,30,12.1364
-44.46,29,12.481683
-44.32,24,12.759848
-41.61,30,13.106822
32.333333,40,13.576561
-36.0,29,13.900938
-41.85,25,14.182357
-44.1,38,14.673269
-41.33,25,14.984911
-38.77,38,16.782953
-32.02,42,17.271976
-44.59,25,17.556784
-36.0,35,17.983875
-40.46,37,18.413677
-41.86,25,18.706571
-41.75,33,19.084427
-44.21,23,19.362552
-41.81,31,19.724547
-46.89,20,20.03389
-41.63,38,20.485254
-36.0,21,20.714219
-38.68,47,21.298743
-44.41,26,21.595625
-41.18,23,21.853953
-39.0,20,22.079165
-44.69,25,22.368724
-42.0,28,22.683809
-44.63,23,24.20962
-38.6,28,24.535771
-41.59,35,24.941139
-41.09,30,25.301865
-38.14,36,25.727234
-39.0,29,26.071221
-44.68,25,26.356957
-38.91,33,26.734652
-37.47,28,27.047805
-43.47,32,27.433823
-35.14,48,28.002478
-37.23,35,28.424157
-41.07,30,28.780004
-47.64,24,29.074239
-41.17,29,29.618229
-39.0,84,31.879312
-38.59,28,32.230924
-44.43,32,32.612411
-45.0,40,33.059481
-41.38,36,33.466618
-39.0,20,33.682595
-38.29,32,34.047419
-47.2,43,34.555148
-42.0,30,34.905369
-46.72,19,35.114996
-40.9,27,35.434463
-41.72,38,35.875417
-37.96,28,36.199827
-44.07,25,36.491844
-38.82,27,36.811782
-39.0,25,37.106684
-35.62,39,38.802127
-38.78,24,39.084288
-32.87,33,39.462332
-42.0,26,39.769403
-38.12,34,40.157084
-38.71,29,40.4935
-35.14,45,40.996806
-41.88,28,41.320678
-43.15,28,41.641483
-35.63,22,41.895891
-42.0,29,42.242236
-44.25,23,42.504884
-38.87,29,42.837217
-38.12,26,43.140149
-45.0,23,43.420347
-35.73,30,43.738401
-38.88,38,44.17468
32.2,30,44.525815
-41.23,29,46.15136
-41.28,23,46.41724
-44.22,33,46.792999
-47.07,19,47.0223
-35.28,36,47.423487
-41.38,29,47.756153
-41.74,22,48.00958
32.3875,33,48.403036
-38.39,36,48.815166
-42.0,48,49.385204
-44.98,26,49.701174
-39.0,27,50.010911
-43.98,21,50.238622
32.090164,28,50.551609
-34.66,61,51.260296
-39.0,25,51.564086
-41.3,19,51.777123
-40.77,32,53.394273
-44.55,27,53.718526
32.364017,27,54.020815
-38.6,30,54.378676
-42.0,21,54.618677
-38.48,42,55.107262
-36.0,35,55.507608
-38.56,28,55.802466
-44.78,37,56.258624
-38.82,38,56.695735
-36.0,40,57.167195
-38.66,32,57.533672
-45.0,29,57.867228
-41.32,25,58.198577
-35.33,43,58.873245
-41.9,30,60.590052
