#{"t_start": 1785962933.7579172, "env_id": "poke-env-v0"}
r,l,t
-41.62,22,2.348161
-44.29,18,2.567464
-44.24,23,2.834888
-45.0,30,3.212057
-43.78,22,3.462854
-44.91,16,3.644688
-38.79,43,4.129598
-41.9,32,4.504346
-36.0,42,4.976941
-41.77,26,5.262999
-41.15,33,5.630534
-44.1,23,5.895687
-44.01,18,6.094856
-38.23,25,6.361777
-45.0,20,6.582451
-41.71,25,6.858978
-38.5,35,7.252975
-40.45,34,7.711815
-41.82,29,8.614674
-44.76,26,8.897494
-45.0,29,9.239738
-41.28,22,9.493915
-44.34,27,9.796673
-45.0,24,10.057204
-42.0,34,10.422605
-44.28,27,10.724645
-42.0,29,11.053642
-40.3,33,11.40509
-41.61,21,11.637363
-32.7,36,12.036949
-44.4,25,12.322193
-41.13,28,12.633156
-38.42,27,12.926659
-47.27,21,13.139393
-41.8,37,13.553572
-41.75,18,13.749471
-41.12,28,14.099074
31.503106,54,15.285634
-38.85,26,15.904796
-45.0,33,16.258672
-44.19,19,16.475991
-41.1,30,16.801515
-39.0,28,17.110905
-43.87,35,17.511896
-47.58,19,17.734352
-41.4,25,18.021283
-44.08,24,18.377032
-44.81,20,18.600836
-39.0,24,18.881926
-40.38,30,19.210015
-41.17,25,19.466105
-44.65,33,19.83483
-46.75,19,20.035886
-41.08,25,20.312212
-44.35,25,20.592836
-41.35,27,20.901965
-44.21,18,21.743617
32.493827,41,22.191942
-41.03,19,22.414229
-44.26,21,22.655978
-44.39,21,22.877444
-38.35,23,23.122159
-45.0,20,23.350817
-44.5,33,23.711627
-38.46,42,24.168321
-44.68,28,24.468544
-41.93,27,24.785634
-41.7,29,25.102443
-40.65,24,25.355552
-41.87,25,25.632132
-41.7,30,25.981705
-41.63,30,26.405665
-41.84,30,26.72526
-38.36,33,27.089485
-38.69,35,28.081156
-35.62,34,28.451787
-41.39,27,28.7606
-44.47,21,28.984276
-41.18,38,29.397499
-38.28,35,29.776568
-41.77,38,30.195198
-41.23,39,30.645213
-38.59,33,30.997976
-44.66,27,31.305926
-41.88,37,31.723868
-41.45,47,33.354177
-35.29,45,33.835233
-38.53,33,34.214335
-43.92,20,34.423726
-39.0,30,35.329601
-32.08,32,35.690428
-38.38,28,36.069381
-35.44,29,36.386763
-41.59,21,36.636766
-40.73,29,36.962509
-32.22,25,37.228701
-44.75,25,37.486272
-35.31,27,37.790663
-39.0,33,38.14614
-39.0,25,38.438826
-38.62,32,38.792222
-38.77,23,39.042456
-44.23,24,39.308554
-43.49,27,39.600328
-44.22,26,39.995986
-38.46,31,40.328442
32.215743,36,40.718479
33.0,40,41.737624
-35.3,31,42.083403
-38.05,37,42.471624
-39.0,26,42.766126
-35.49,36,43.16005
-44.38,36,43.53905
-35.84,32,43.899469
-41.43,21,44.135587
-35.94,31,44.467515
-42.0,29,44.782927
-32.07,26,45.058076
-42.0,19,45.274797
-34.9,49,45.85089
-35.61,27,46.130922
-38.44,22,46.360508
-42.0,43,46.84359
-46.68,23,47.10469
-43.96,19,47.322297
-32.25,35,48.283524
-43.15,25,48.561555
-39.0,28,48.880412
-38.21,44,49.362358
-36.4,29,49.774453
-37.65,41,50.218951
-36.0,26,50.509774
-37.47,33,50.851862
-38.61,24,51.123616
-41.09,22,51.36899
-38.75,30,51.69489
-40.66,25,51.968642
-38.45,27,52.262715
-44.14,32,52.612929
-47.5,28,52.927238
-35.53,36,53.335337
-41.11,33,54.440722
-37.79,36,54.830443
-32.26,43,55.323306
-39.0,22,55.56922
-38.55,43,56.033885
-36.0,26,56.311383
-40.56,24,56.572771
-36.82,31,56.926101
-41.91,25,57.20735
-38.88,32,57.561828
-38.81,35,57.944625
-41.7,25,58.23485
-38.05,34,58.616349
-35.53,25,58.881571
-35.35,26,59.223419
-32.86,24,59.46275
32.5,82,60.925279
-39.0,30,61.247186
-38.73,21,61.475324
-39.0,27,61.776576
-44.18,24,62.032833
-40.98,29,62.339946
