#{"t_start": 1785950013.8679576, "env_id": "poke-env-v0"}
r,l,t
-32.58,52,2.523492
-35.71,42,3.066021
-38.22,43,3.598977
-40.11,55,4.273762
-42.0,33,4.72004
-44.57,32,5.130246
-32.95,45,5.68204
-32.82,64,6.476602
-44.9,47,7.062142
34.60205,47,7.639923
-39.0,50,8.278976
-44.81,26,9.230331
37.878753,58,9.944002
-39.0,35,10.373979
-38.12,27,10.724574
33.0,53,11.358465
-34.85,65,12.446732
-44.25,30,12.805767
37.046211,61,13.560257
-41.88,37,14.008562
-44.62,19,14.230356
40.796411,48,14.824274
-38.91,35,15.243857
-38.79,32,16.362472
40.803054,71,17.281866
38.035372,41,17.80374
-44.08,24,18.117234
35.327262,90,19.19352
-35.68,34,19.613598
-44.4,35,20.060355
32.085271,65,20.854605
33.0,48,21.436686
-41.48,23,21.75121
32.160584,35,22.169456
-35.5,27,22.52203
-41.05,29,23.519587
37.603277,97,24.745879
32.75,56,25.40261
-41.58,23,25.701655
33.0,47,26.272347
-38.05,39,26.751984
-43.37,34,27.167165
33.845381,47,27.76582
-44.5,39,28.27131
-41.21,29,28.61854
-34.38,60,29.346146
-34.69,43,30.510024
-35.42,28,30.914783
37.987619,62,31.670065
-39.0,33,32.119109
-37.64,34,32.552906
-34.78,59,33.273713
-41.34,27,33.588115
-38.35,26,33.922729
34.800154,38,34.38621
-32.5,50,35.009676
-44.54,30,35.383514
-32.36,65,36.216259
-35.83,44,37.547029
-41.3,23,37.846036
43.468523,25,38.164031
-36.0,35,38.596228
-43.68,34,39.013144
-32.71,45,39.571044
-33.0,35,40.01523
-41.34,37,40.486301
-40.49,48,41.090425
-41.18,24,41.396273
-36.0,30,41.74812
-32.24,77,42.72377
-41.05,54,43.431788
-41.26,28,43.769525
-31.82,57,45.172514
-32.77,33,45.612724
-38.74,24,45.894931
38.322807,70,46.836497
-41.24,17,47.079365
-39.0,23,47.376245
31.961268,74,48.32218
-38.24,43,48.85427
-41.03,16,49.07666
37.537939,61,49.824922
-32.64,29,50.17906
-38.27,28,50.538199
32.596639,56,51.845367
-41.84,30,52.228165
-33.0,40,52.739353
34.032432,52,53.380386
-32.25,40,53.873103
-42.0,22,54.137014
35.044118,58,54.87849
-35.27,72,55.789798
-44.15,16,56.003886
38.027036,31,56.392601
-35.64,35,56.831451
-41.67,28,57.18531
34.584401,67,58.033891
32.883459,41,59.200104
-41.68,25,59.518776
33.558343,106,60.855913
-38.2,25,61.186269
-37.17,28,61.559108
38.165441,38,62.371544
-38.05,34,62.811422
-35.06,37,63.259628
34.942743,68,64.098508
35.896104,37,64.555802
35.191587,46,65.1234
45.431171,34,65.551596
-35.23,32,66.770248
-41.46,22,67.039068
41.378883,34,67.48929
-41.73,28,67.805787
-39.0,26,68.172511
35.488746,53,68.857337
-41.32,17,69.048651
-37.6,33,69.49787
35.364583,58,70.208724
-38.08,26,70.546447
-35.62,31,70.94076
-32.58,48,71.681817
32.350943,31,72.074141
-38.88,22,72.355727
36.0,48,72.954439
-35.15,41,74.096324
-32.71,33,74.501013
-35.38,37,75.058539
-36.0,26,75.386499
-40.81,23,75.687468
38.404638,55,76.39163
-33.0,32,76.812477
-38.4,25,77.135009
42.934355,26,77.485149
-38.57,37,77.95617
-35.69,30,78.341759
38.239733,26,78.642207
-32.91,35,79.090428
-35.67,26,79.429244
