turn,own_hp,opp_hp,n_legal_switch,n_legal_move,p_switch,p_attack,top_action,top_is_switch,top_prob,margin,value,cf_fullhp_top,cf_flips
6,0.837,0.88,4,4,0.1946,0.8054,6,0,0.6288,0.4874,-29.176,6,0
7,0.0,0.81,4,0,1.0,0.0,4,1,0.4726,0.0135,-13.487,4,0
7,0.0,0.54,4,0,1.0,0.0,5,1,0.6715,0.495,-11.435,0,1
5,0.0,0.68,5,0,1.0,0.0,1,1,0.6112,0.4095,-8.018,1,0
9,0.601,0.5,3,4,0.0829,0.9171,9,0,0.4214,0.2363,-14.42,9,0
9,1.0,0.63,1,4,0.1145,0.8855,9,0,0.5788,0.4263,-13.985,9,0
4,0.793,1.0,5,4,0.4428,0.5572,6,0,0.3902,0.0443,-3.761,6,0
4,0.463,1.0,5,4,0.3811,0.6189,7,0,0.5815,0.2004,-13.149,7,0
2,0.9,1.0,5,8,0.0,1.0,22,0,0.999,0.9983,15.848,22,0
8,1.0,0.81,3,4,0.0352,0.9648,6,0,0.8371,0.7715,-17.375,6,0
7,0.683,0.71,4,4,0.204,0.796,6,0,0.5086,0.3813,-29.467,6,0
8,1.0,0.54,3,4,0.0015,0.9985,6,0,0.6024,0.336,-3.617,6,0
6,1.0,0.68,4,4,0.0866,0.9134,8,0,0.4835,0.1711,-5.361,8,0
10,0.289,0.46,1,4,0.0472,0.9528,9,0,0.5488,0.2877,-20.563,9,0
8,1.0,1.0,2,4,0.1905,0.8095,7,0,0.4094,0.1761,-31.504,7,0
5,0.168,1.0,5,4,0.4411,0.5589,6,0,0.3518,0.0916,-5.159,6,0
4,0.0,1.0,5,0,1.0,0.0,1,1,0.9958,0.9915,-21.43,1,0
3,0.376,0.25,5,4,0.0001,0.9999,6,0,0.9997,0.9995,27.939,6,0
8,0.0,0.71,3,0,1.0,0.0,2,1,0.6455,0.4682,-18.087,2,0
8,0.517,0.52,4,4,0.1938,0.8062,6,0,0.3444,0.1689,-29.72,6,0
10,0.373,1.0,3,4,0.0941,0.9059,7,0,0.4732,0.264,-16.165,6,1
8,0.0,1.0,2,0,1.0,0.0,1,1,0.7188,0.4377,-31.282,3,1
5,0.0,1.0,5,0,1.0,0.0,4,1,0.3904,0.0342,-7.064,3,1
5,1.0,1.0,4,4,0.0001,0.9999,6,0,0.9928,0.9856,-22.217,6,0
10,0.0,0.3,1,0,1.0,0.0,5,1,1.0,1.0,-21.042,5,0
3,0.0,0.25,5,0,1.0,0.0,4,1,0.329,0.0768,24.309,1,1
9,1.0,0.71,2,4,0.0109,0.9891,6,0,0.426,0.132,-15.667,6,0
9,0.344,0.35,4,4,0.1585,0.8415,9,0,0.2473,0.0075,-29.945,6,1
9,0.408,1.0,3,4,0.0003,0.9997,8,0,0.9863,0.9731,-4.501,8,0
10,0.0,1.0,3,0,1.0,0.0,2,1,0.8772,0.7901,-15.844,2,0
9,1.0,1.0,1,4,0.0266,0.9734,7,0,0.6978,0.5834,-27.516,7,0
6,1.0,1.0,4,4,0.0582,0.9418,7,0,0.7617,0.6151,-4.588,7,0
11,1.0,0.3,0,4,0.0,1.0,8,0,0.5079,0.0923,-21.422,8,0
7,1.0,1.0,4,1,0.1053,0.8947,8,0,0.8947,0.819,-3.348,8,0
6,0.442,0.52,4,4,0.0025,0.9975,6,0,0.5292,0.0614,-20.869,7,1
4,1.0,0.25,4,4,0.0,1.0,7,0,1.0,1.0,27.242,7,0
11,0.196,1.0,2,4,0.0414,0.9586,8,0,0.3844,0.098,-18.608,8,0
10,1.0,0.69,2,1,0.6504,0.3496,5,1,0.4652,0.1156,-18.005,5,0
10,0.671,0.35,4,4,0.0955,0.9045,6,0,0.5395,0.3726,-29.732,6,0
10,0.101,0.8,3,4,0.0007,0.9993,8,0,0.9343,0.8706,-4.251,8,0
12,0.81,0.37,0,4,0.0,1.0,8,0,0.5157,0.1222,-23.574,8,0
7,0.0,0.91,4,0,1.0,0.0,4,1,0.3762,0.0738,-3.443,0,1
7,0.901,0.59,4,4,0.0079,0.9921,7,0,0.771,0.5616,-1.082,7,0
6,0.0,0.06,4,0,1.0,0.0,2,1,0.5637,0.3299,-18.611,3,1
11,0.591,0.69,2,4,0.3799,0.6201,6,0,0.3032,0.0515,-20.794,6,0
11,0.0,1.0,2,0,1.0,0.0,3,1,0.6952,0.3905,-15.815,3,0
11,0.508,0.19,4,4,0.0835,0.9165,6,0,0.3292,0.1034,-29.827,6,0
10,0.0,0.46,3,0,1.0,0.0,0,1,0.9992,0.9984,2.572,0,0
10,1.0,1.0,1,4,0.0133,0.9867,9,0,0.4413,0.1346,-26.42,9,0
8,1.0,0.91,3,4,0.1101,0.8899,9,0,0.4183,0.1828,-4.48,9,0
13,0.621,0.43,0,4,0.0,1.0,8,0,0.5256,0.1549,-25.126,8,0
7,1.0,0.06,3,4,0.0007,0.9993,8,0,0.9872,0.9753,-19.368,8,0
5,1.0,1.0,4,4,0.0,1.0,6,0,1.0,1.0,26.0,6,0
8,0.835,0.13,4,4,0.0002,0.9998,9,0,0.8386,0.6783,3.87,9,0
11,0.0,0.69,2,0,1.0,0.0,2,1,0.6589,0.3178,-22.954,2,0
12,1.0,1.0,1,4,0.1087,0.8913,8,0,0.3405,0.0843,-16.578,8,0
11,0.689,0.46,2,4,0.0,1.0,8,0,0.9978,0.9956,3.419,8,0
11,0.961,1.0,1,4,0.0134,0.9866,7,0,0.3725,0.0061,-26.803,9,1
12,0.338,0.02,4,4,0.0455,0.9545,7,0,0.3736,0.07,-29.87,6,1
9,0.003,0.05,3,4,0.0036,0.9964,9,0,0.9492,0.917,-6.193,9,0
14,0.431,0.49,0,4,0.0,1.0,8,0,0.5387,0.1893,-26.381,8,0
5,0.0,0.91,4,0,1.0,0.0,1,1,0.7061,0.4563,20.285,1,0
12,1.0,0.69,1,4,0.0743,0.9257,8,0,0.3272,0.0075,-22.911,8,0
13,0.705,0.81,1,4,0.0378,0.9622,7,0,0.2818,0.0141,-19.057,7,0
13,0.178,0.02,4,4,0.0609,0.9391,7,0,0.53,0.2646,-30.24,6,1
12,0.934,0.85,1,4,0.0094,0.9906,9,0,0.4698,0.1558,-26.677,9,0
6,1.0,0.91,3,4,0.1013,0.8987,7,0,0.7685,0.6723,22.622,7,0
8,0.16,1.0,3,4,0.0414,0.9586,7,0,0.493,0.2215,-18.435,8,1
9,0.57,1.0,4,4,0.0186,0.9814,7,0,0.8421,0.7036,0.584,7,0
15,0.492,0.55,0,4,0.0,1.0,8,0,0.5207,0.1542,-26.245,8,0
12,0.373,0.16,1,0,1.0,0.0,0,1,1.0,1.0,-22.268,0,0
12,0.689,1.0,2,1,0.0298,0.9702,8,0,0.9702,0.9407,-2.395,8,0
13,0.0,0.02,4,0,1.0,0.0,2,1,0.8942,0.8468,-27.507,2,0
10,0.003,1.0,3,4,0.0066,0.9934,9,0,0.9799,0.9724,-7.529,9,0
14,0.41,0.81,1,4,0.0342,0.9658,9,0,0.3481,0.0785,-23.218,8,1
13,0.895,0.39,1,4,0.001,0.999,9,0,0.9267,0.8864,-26.174,9,0
6,1.0,0.49,3,0,1.0,0.0,3,1,0.9891,0.98,25.137,3,0
13,0.808,0.16,1,4,0.0732,0.9268,6,0,0.5073,0.2766,-20.493,6,0
8,0.0,1.0,3,0,1.0,0.0,3,1,0.9364,0.903,-17.744,3,0
9,0.0,1.0,4,0,1.0,0.0,1,1,0.4673,0.1505,2.096,1,0
16,0.302,0.61,0,4,0.0,1.0,8,0,0.5378,0.192,-27.319,8,0
13,0.073,0.2,2,1,0.1365,0.8635,8,0,0.8635,0.7271,-0.299,8,0
14,1.0,0.02,3,4,0.0045,0.9955,8,0,0.8341,0.7342,-28.873,8,0
15,0.124,0.67,1,4,0.0269,0.9731,9,0,0.4477,0.2147,-24.894,9,0
10,0.0,0.9,3,0,1.0,0.0,2,1,0.8394,0.7054,-3.894,3,1
7,0.401,0.39,3,4,0.0,1.0,6,0,0.8783,0.7591,23.631,6,0
9,1.0,1.0,2,4,0.1272,0.8728,9,0,0.4365,0.0586,-15.854,9,0
10,1.0,1.0,3,4,0.0912,0.9088,8,0,0.8201,0.7321,0.145,8,0
17,0.113,0.67,0,4,0.0,1.0,8,0,0.5618,0.2365,-28.292,8,0
