#{"t_start": 1789619920.770768, "env_id": "poke-env-v0"}
r,l,t
-43.86,21,3.302413
-44.13,29,4.059723
-44.41,25,4.581882
-35.32,23,5.002729
-44.36,19,5.288203
-42.0,26,5.702806
-42.0,20,6.041569
-47.47,29,6.5196
-37.43,29,6.988318
-43.9,29,7.432838
-35.36,27,7.905736
-42.0,25,8.317786
-47.26,30,8.764245
-42.0,36,9.359958
-40.17,53,10.214967
-44.6,29,10.644226
-42.0,28,11.055149
-41.63,27,11.404094
-38.84,47,14.801855
-44.62,24,15.195304
-45.0,24,15.600786
-37.64,28,15.997139
-44.87,26,16.436845
-44.84,24,16.822357
-41.16,35,17.403775
-40.73,29,17.870107
-38.65,35,18.403622
-44.52,19,18.704585
-38.89,33,19.220046
-41.62,30,19.681785
-47.64,13,19.910586
-44.54,67,20.905049
-44.55,24,21.246733
-34.92,51,21.928815
-41.59,27,24.712221
-38.65,34,25.469119
-42.0,26,26.076106
-41.91,40,26.953385
-33.0,90,29.05227
-37.77,26,29.837954
-45.0,25,30.271101
-41.34,24,30.696039
-40.47,23,31.0944
-43.52,21,31.483302
-38.84,38,32.140908
-46.8,24,32.511051
-39.0,31,33.011592
-38.63,28,33.482152
-39.0,27,33.932156
-41.05,27,34.405908
-41.45,34,37.441311
-41.9,24,37.914272
-32.91,33,38.529417
-44.09,31,39.098992
-41.75,28,39.672151
-39.0,37,40.40315
-45.0,33,41.030517
-42.0,18,41.354575
-44.28,31,41.896832
-47.91,24,42.235692
-41.34,23,42.630545
-35.34,34,43.178449
-44.86,21,43.534386
33.0,45,44.237793
-46.52,30,44.764302
-40.75,32,45.295335
-44.18,19,45.623603
-38.78,31,48.514385
-39.0,26,49.137542
-44.04,19,49.51281
-39.0,26,49.998719
-32.73,38,50.893226
-44.63,22,51.325109
-40.66,26,51.852095
-40.45,29,52.395663
-44.49,29,52.92414
-37.89,29,53.404903
-41.71,29,53.857167
-40.97,29,54.335229
-36.0,37,55.018137
-41.39,27,55.470689
-44.69,24,56.054155
-32.73,31,56.566683
-41.41,31,57.096937
-39.0,25,57.493506
-41.25,31,60.771308
-44.1,33,61.396523
-43.34,24,61.86292
-41.91,30,62.405091
-46.82,21,62.849619
-39.0,30,63.410164
-36.0,31,63.993144
-36.0,45,64.843853
-44.04,26,65.465334
-39.0,34,66.063943
-44.37,23,66.486871
-43.03,31,67.087402
-41.11,28,67.600004
-42.0,21,68.012345
-44.18,27,68.484685
-37.58,29,68.971825
-38.39,26,69.388911
-34.95,30,69.964355
-44.31,30,72.954762
-41.9,27,73.461818
-39.0,31,74.054951
-43.7,19,74.461874
-44.2,22,74.866305
-43.69,20,75.286803
-41.88,19,75.641472
-41.28,25,76.111207
-40.76,42,76.828225
-38.98,30,77.336102
-42.0,24,77.730308
-45.0,24,78.158444
-42.6,28,78.677907
-41.9,26,79.07657
30.0,32,79.612563
-38.61,31,80.118935
-39.0,37,80.709269
-41.28,32,81.265605
-46.81,25,82.081108
-36.0,45,85.332556
-38.86,39,86.123179
-41.12,22,86.55281
-32.91,47,87.46314
-41.78,21,87.88177
-44.26,26,88.33972
-36.0,40,88.979868
-41.44,30,89.499691
-43.73,26,89.935692
-40.81,54,90.783572
-44.38,20,91.093013
-38.72,29,91.566762
-44.09,24,91.979166
-41.33,26,92.424084
-44.31,25,92.862794
35.348659,40,93.664049
-44.0,25,96.545074
-41.77,33,97.210823
-42.0,62,98.493099
-41.73,26,98.97839
-41.6,27,99.47165
-35.81,46,100.243821
-44.12,24,100.63504
-44.7,19,100.949965
-44.37,48,101.737173
-41.72,26,102.147781
-44.48,29,102.607984
-38.3,26,103.020719
-41.34,46,103.75478
-38.56,59,104.807691
-41.5,21,105.210855
-38.25,30,108.289807
34.548924,30,108.90091
-41.57,24,109.402047
-39.0,29,109.981921
-37.99,27,110.506908
-36.0,33,111.039261
-35.44,30,111.53295
-38.34,25,111.938871
-46.38,21,112.273077
-32.26,37,112.874798
35.431619,33,113.420904
-35.77,52,114.363462
-36.0,32,114.86863
-44.49,35,115.523772
-42.0,30,116.136526
-38.45,40,116.954324
-35.48,111,121.952625
-44.12,29,122.583618
-38.09,24,123.030921
-33.0,29,123.491584
-38.94,36,124.062572
-35.34,29,124.532361
36.0,23,124.971992
-40.72,25,125.458603
32.288973,35,126.00576
-41.48,29,126.477016
-42.68,16,126.729601
