#{"t_start": 1785942847.7046728, "env_id": "poke-env-v0"}
r,l,t
-43.03,35,2.522106
-41.17,28,2.912043
-41.69,20,3.186017
-38.02,36,3.65836
-38.49,30,4.053474
-41.11,22,4.348907
-42.0,26,4.707817
-38.91,29,5.109436
-42.0,31,5.520689
-38.28,30,5.922758
-41.09,29,6.325799
-41.48,29,6.706563
-43.64,24,7.034173
-38.27,50,7.767111
-41.54,26,8.127825
-44.65,20,8.389941
-47.15,35,8.857805
-43.68,26,9.891137
-46.82,25,10.224581
-36.75,38,10.749097
-35.74,29,11.132568
-47.65,19,11.379906
-42.0,25,11.712836
-39.0,26,12.06668
-47.31,27,12.434883
-37.87,35,12.945417
-34.42,41,13.558308
-34.76,30,13.970313
-41.56,30,14.372527
-43.37,41,14.934375
-40.76,36,15.421696
-40.23,24,15.751231
-41.39,26,16.1018
-41.42,28,16.489366
-47.86,16,16.714023
-41.61,23,18.024793
-41.17,20,18.316636
-36.78,27,18.745802
-38.14,32,19.404395
-35.75,33,19.91933
-47.13,29,20.378208
-36.0,35,20.889408
-41.67,24,21.229187
-42.0,22,21.564837
-46.21,20,21.864975
-38.9,27,22.257816
-39.0,29,22.725533
-41.36,28,23.136202
-38.65,27,23.540194
-38.21,27,23.97415
-37.88,47,24.696221
-41.67,32,25.215998
-38.16,43,26.580391
-45.0,23,26.945248
-41.24,30,27.464389
-41.54,19,27.759177
-41.49,27,28.212492
-39.0,26,28.701083
-44.54,30,29.185112
-39.0,25,29.607209
-38.5,27,30.062808
-32.43,46,30.938689
-41.88,35,31.47775
-35.9,27,31.891379
-40.98,27,32.293283
-43.56,21,32.821216
-45.0,25,34.120409
-44.81,22,34.818902
-35.73,38,35.591079
-41.53,22,36.03043
-44.28,23,36.504886
-40.79,42,41.162059
-38.02,30,41.682921
-36.0,32,42.253976
-41.4,32,42.81919
-43.94,22,43.225436
-36.0,36,43.757038
-44.24,23,44.12297
-41.81,26,44.520601
-41.17,25,44.986868
-41.12,28,45.49735
-39.0,34,46.116767
-42.9,82,47.773838
-38.13,115,50.772331
-40.68,30,51.222311
-41.69,26,51.614975
-41.08,25,51.98992
-38.53,28,52.420928
-40.91,28,53.137517
-40.61,38,53.711961
-44.11,26,54.120198
-46.84,22,54.414235
-46.72,29,54.909663
-34.7,31,55.363999
-38.51,27,55.781639
-36.0,31,56.277906
-47.13,36,56.835599
-44.13,33,57.329706
-42.82,25,57.718992
-43.94,21,58.081095
-38.38,34,59.204578
-40.95,26,60.360185
-39.0,36,60.959148
-37.81,34,61.43741
-35.03,26,61.859575
-44.15,23,62.234685
-38.82,24,62.611349
-42.0,34,63.124415
-34.56,26,63.502259
-44.5,32,63.993132
-41.71,20,64.400787
-41.59,24,64.788348
-40.96,24,65.140137
-46.5,24,65.507315
-38.28,36,66.209085
-45.0,13,66.398298
-42.0,21,66.762303
-46.69,17,67.04274
-41.85,31,67.528858
-41.18,35,68.071568
-41.18,25,69.278352
-37.33,38,69.948736
-43.28,29,70.429994
-45.0,22,70.776802
-38.83,40,71.397074
-41.55,101,72.870651
-38.65,30,73.290917
-46.85,36,73.793281
-39.0,26,74.143383
-40.1,30,74.569901
-44.24,31,74.989269
-35.76,36,75.476543
-39.0,36,75.965299
-44.37,18,76.215286
-38.65,35,76.721384
-43.95,29,77.852388
-40.66,30,78.284898
-42.0,78,79.392754
-39.0,27,80.002695
-38.91,22,80.299599
-35.37,31,80.725038
-38.58,21,81.028614
-41.21,19,81.28601
-41.58,26,81.645967
-41.09,29,82.039578
-45.0,23,82.370341
-41.61,24,82.687107
-36.0,35,83.165224
-44.56,21,83.462608
-38.73,25,83.835729
-38.34,29,84.227619
-40.3,28,84.651639
-42.0,23,86.128112
-35.18,48,86.915572
-43.65,20,87.270544
-42.0,31,87.747478
-39.0,26,88.121164
-41.2,27,88.473756
-41.32,21,88.754942
-38.71,33,89.206247
-32.68,58,90.074821
-38.02,34,90.530783
-40.93,29,90.934205
-38.22,28,91.311022
-41.63,22,91.617395
-42.0,26,92.207049
-39.48,32,92.649775
-41.65,22,92.953753
-38.16,35,93.483059
-38.37,26,94.611123
-43.81,20,94.924558
-38.59,24,95.272125
-39.0,36,95.808436
-40.43,41,96.417341
-32.54,46,97.119853
-38.36,27,97.483689
-44.1,22,97.786779
-44.15,19,98.057734
-40.39,39,98.624683
-43.56,26,98.972103
-38.35,30,99.368468
-41.32,51,100.075302
-38.67,23,100.410835
-43.86,22,100.724949
-41.41,29,101.107688
-39.0,48,102.417268
-41.44,30,102.833263
-32.56,35,103.30471
-43.65,28,103.665263
-41.26,21,103.943712
-38.96,51,104.790142
-35.59,38,105.388052
-33.0,32,105.810066
-41.21,44,106.39893
-38.11,29,106.944296
-32.32,29,107.315229
33.931348,28,107.683356
-41.77,26,108.03297
-33.0,42,108.612141
-41.72,29,108.987059
-41.19,33,109.424354
-41.94,29,110.451199
-40.66,30,110.873384
-41.47,23,111.194663
-41.57,19,111.469218
-42.0,21,111.732482
-35.78,31,112.138165
-42.0,27,112.517591
-41.38,24,112.861456
-44.41,23,113.185511
-41.41,30,113.603126
-40.08,31,114.046623
-41.76,31,114.485282
-35.5,25,114.82997
-42.0,20,115.114614
-38.68,35,115.58272
-41.26,29,115.981579
-44.89,25,116.318243
-38.23,27,116.679477
-44.36,19,116.922776
-45.0,25,117.281447
-33.0,27,118.27265
-38.44,38,118.782089
-35.55,35,119.257123
-41.39,24,119.603003
-44.03,19,119.845259
-44.04,24,120.185909
-38.9,26,120.535872
-40.82,27,120.900236
-40.89,26,121.262459
-41.32,25,121.586597
-41.55,42,122.171138
-41.66,19,122.438936
-41.5,22,122.740242
-44.57,61,123.528846
-35.72,43,124.089561
-35.66,41,124.665411
-35.7,33,125.84213
-46.74,25,126.195769
-46.77,30,126.610826
-35.06,34,127.075469
-46.66,23,127.372483
-32.2,26,127.744603
-41.81,23,128.099441
-39.0,24,128.617296
-41.01,23,128.981962
-43.91,24,129.307996
-37.34,37,129.810061
-44.91,25,130.133569
-41.23,25,130.506603
-37.99,27,130.853243
-41.68,31,131.265411
-47.88,20,131.53643
-37.9,50,132.172738
-44.31,23,132.485899
-41.44,24,133.470489
-38.29,26,133.821797
-41.91,25,134.147557
-41.26,26,134.516685
-47.68,20,134.784071
-38.54,30,135.185619
-41.19,22,135.469615
-42.0,23,135.793058
-32.57,25,136.114241
-38.53,32,136.822683
-43.8,20,137.096745
-35.54,33,137.540479
-35.37,47,138.168572
-41.51,27,138.523401
-40.75,26,138.872702
-41.73,31,139.28903
-44.31,33,139.738766
-44.34,25,140.074389
-44.07,24,140.393022
-40.74,25,141.380597
-41.61,22,141.66725
-44.71,32,142.130171
-42.0,27,142.490599
-44.09,20,142.796456
-41.66,22,143.351543
-41.99,107,144.754264
-38.05,30,145.16078
-39.0,23,145.454108
-41.33,28,145.818892
-41.03,23,146.134653
32.395018,43,146.687854
-38.3,39,147.199999
-39.0,100,149.166036
-38.17,25,149.503849
-41.12,27,149.868726
-44.09,20,150.154311
-41.26,29,150.511473
-35.23,34,150.968185
-35.75,35,151.421501
-41.81,25,151.759639
-36.0,51,152.62809
-39.0,89,153.919653
-41.29,24,154.300541
-45.24,23,154.608302
-44.12,27,154.970284
-42.0,26,155.324193
-44.54,22,155.616575
-42.0,17,155.831527
-38.34,31,156.887752
-43.38,24,157.226119
-39.0,30,157.643506
-44.17,29,158.023537
-41.92,26,158.386618
-43.97,23,158.689627
-44.25,19,158.923207
-38.61,34,159.351324
-36.0,29,159.749156
-44.16,23,160.054744
-40.97,22,160.341874
-42.0,44,160.923942
-35.72,28,161.307257
-38.17,26,161.654132
-41.73,30,162.050065
-42.0,16,162.265291
-38.24,36,162.74977
-40.09,30,163.164459
-43.47,24,163.502274
-40.31,26,164.525636
32.436975,37,165.029094
-33.0,32,165.472463
-41.74,37,165.967639
-44.85,39,166.503841
-43.23,30,166.931229
-41.16,25,167.315907
-33.0,31,167.748252
-40.48,20,168.053478
-40.7,23,168.438804
-36.0,28,168.882061
-38.87,38,169.426346
-36.0,42,170.037739
-38.78,32,170.488502
-38.39,27,170.879989
-32.01,32,171.319412
-44.08,20,171.593903
-35.8,28,173.469381
-39.0,33,173.941795
-44.58,22,174.251286
-35.52,44,174.85382
35.281588,27,175.210879
-38.91,28,175.592068
-35.88,31,176.034287
-38.61,35,176.515913
-41.27,31,176.946803
-38.78,30,177.383189
-34.71,33,178.067158
-36.8,35,178.561443
-41.3,26,178.930687
32.031469,32,179.378358
-42.0,24,179.681521
-35.72,25,180.01835
-41.2,29,180.433217
-41.35,27,181.439789
-35.34,31,181.909079
-35.71,23,182.226609
-35.51,29,182.659084
-40.87,24,183.026165
-37.37,32,183.500087
-35.82,27,183.864716
-35.9,46,184.49632
-38.13,48,185.184397
-40.04,30,185.589709
32.407942,42,186.183866
35.252747,32,186.61753
-42.0,42,187.213611
-42.0,31,187.654095
-44.02,26,188.616726
-37.98,36,189.814447
-38.86,37,190.34685
-36.0,31,190.769639
-38.2,28,191.141682
-41.69,25,191.521134
-34.92,45,192.182976
-35.71,34,192.720089
-41.08,27,193.081961
-35.62,30,193.486203
-38.54,34,193.934797
-42.0,25,194.280585
-35.75,46,194.920774
34.668815,41,195.497008
-41.23,20,195.756842
-44.43,22,196.079096
-38.05,20,196.37347
-41.75,22,196.687077
-38.74,32,197.865206
-38.16,26,198.21365
-41.19,43,198.841403
-32.28,48,199.490898
-41.75,26,199.865387
-41.13,33,200.362098
-37.2,31,200.863075
-38.11,26,201.255244
-38.83,29,201.660288
-41.76,22,201.976673
-41.81,26,202.355804
-39.0,23,202.789054
-40.98,25,203.269191
-41.43,31,203.707553
-35.47,38,204.220839
35.561201,44,204.838548
-41.46,22,205.131401
-44.12,31,206.307987
32.509259,45,206.932286
-32.29,38,207.40761
-44.57,25,207.736362
-43.55,28,208.122612
-43.11,26,208.488179
-44.06,27,208.814597
-37.74,28,209.172801
-41.13,45,209.789106
-38.07,31,210.192224
-37.55,45,210.829627
-41.45,28,211.743971
-39.0,24,212.092529
-40.98,36,212.607502
-37.59,34,213.068513
-38.82,27,214.1379
-42.0,22,214.494687
-38.29,27,214.894481
-41.91,30,215.290503
-38.66,29,215.699522
-38.58,29,216.084464
-38.67,22,216.396021
-44.03,22,216.674981
-41.71,40,217.228008
-41.23,28,217.605409
32.689103,33,218.050384
-42.0,23,218.381213
-36.0,24,218.675332
-41.2,25,219.007012
-38.5,34,219.477293
-39.0,25,219.822096
-39.91,26,220.152298
-40.71,29,220.525295
-40.78,23,220.829688
-38.76,19,221.731256
-41.16,26,222.085387
-32.03,54,222.802121
-42.58,44,223.422641
